SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,56.15455,38000000,3006,56000000
76561198896246339,RoundNzt,56.7648,44000,1002,13001
76561199126724675,ZOMAN,57.00453,35005,3002,39000000
76561198106476018,jandje,57.07633,49000001,3004,18000002
76561198008859132,Lazy_Echidna,57.12051,41000,3004,22001
76561198290668879,Socks242,57.3446,40000000,3006,18000002
76561198847576929,Lightning,58.14708,38006,3004,6300
76561198043268277,Frog Mime,59.18739,5004,3006,23007
76561198448256191,Brittany Spears,59.56002,11000,2002,23000000
76561198030459761,I_stay_sideways,59.69463,38001,1008,2017
76561198061460580,Happydr,60.36709,49000006,1005,6003
76561199070202397,Thenonymous,61.51481,39000,1002,14000000
76561198838593572,invisiblecat8,61.59253,38002,1009,30000
76561198824105813,V,61.67668,11000000,2000,14000000
76561197996376845,Arder,61.828,3004,1003,2001
76561198932043314,Metalted,62.21121,25000,3001,23001
76561198031919228,Akane,62.22779,55000001,3006,30000000
76561198040976717,ttv/Lilly the Bun,62.4279,13003,2002,30000
76561198086671586,Wesley,62.59066,39001,1000,2001
76561198155015234,VirusCookies,62.6305,15000,1008,11000
76561198310944158,[Poseidon],62.70207,38001,1005,23000
76561198067925412,AndMe14,62.76236,15000,1006,27000000
76561198160604987,Tritonas1237,63.76031,11000000,1001,24002
76561197979087520,Mokster,64.60774,6002,1003,6200
76561197972480611,i_also_stay_sideways,65.60633,15000,1008,5005
76561199480203457,Galaxy®,68.46185,25000,1006,27000000
76561198115470164,AzuriteFalc0n,68.81828,1001,4002,2000
76561198402229045,Meowvelous_Purrrson,72.90067,26000000,4000,24000000
