SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198082304391,[CTR]TheBamboozler,53.54678,40000000,3002,18000001
76561198081356099,[CTR] Sandals,54.02951,40000000,3006,28000
76561199173536675,[CTR]OwlPlague,54.04182,40000000,3001,18000001
76561198021974488,[CTR] NathWalt,54.20406,6001,3000,14000
76561198020002661,RadiationMutt,54.95578,3005,1004,11000
76561197965640463,L3it3R,56.17676,32000000,2001,29000000
76561199242599801,hawk,56.61417,1100,3000,6005
76561198047403251,St Nicholas,58.24815,6004,3004,12000
76561198059628222,[CTR]zedShep,59.32359,49000010,1006,2019
76561198203457014,DitoJabba2468,62.6188,49000004,2000,3000
76561198870312435,NATHAN,79.90233,3003,2000,14000000
