SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198106476018,[CTR]jandje,61.13954,49000001,3004,59000000
76561198050792757,justMaki,61.14553,38000000,3006,56000000
76561199027567424,[RTR] Hydro,61.50219,40000000,3001,14000000
76561198847576929,Lightning,61.94738,38006,3004,6300
76561198001387193,Warcans,62.02428,36000000,3002,27000000
76561198008859132,Lazy_Echidna,62.62461,26005,3004,6500
76561198896246339,RoundNzt,63.31839,44000,1002,13001
76561198027169155,DeiRex,63.93339,38001,3004,22000
76561199121464627,[OR] rsgold,64.01412,3008,3004,6300
76561198043268277,Frog Mime,64.41109,33002,3006,20006
76561198067925412,AndMe14,64.51989,15000,3000,5002
76561198030459761,[RTR] I_stay_sideway,64.58181,38001,1008,2017
76561198932043314,Metalted,64.73234,45002,3001,59000000
76561198155015234,VirusCookies,64.79742,15000,1008,11000
76561198851912263,Lexer,65.0913,1014,3002,2020
76561198031919228,Akane,65.7127,55000001,3006,30000000
76561198040113746,Richhyyyy,65.89321,5004,3001,14000
76561198020002661,RadiationMutt,66.61729,3003,3002,58000000
76561199074857674,Gmb124,67.04163,39000,1002,53000000
76561198838593572,invisiblecat8,69.63524,13005,1002,24005
76561197979087520,Mokster,69.98921,6002,1003,6200
76561198842734719,DMILKS,73.31176,2000,4000,22000
76561198799198486,manuel_widdel,76.29907,15001,1009,7000
76561198171003110,『           』,76.65969,26000000,4001,22000
76561197996376845,Arder,78.7011,3004,1003,2001
