SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198001387193,Warcans,46.02072,36000000,3002,27000000
76561199126724675,ZOMAN,46.12724,3008,3001,18000002
76561198896246339,RoundNzt,46.14487,44000,1002,59000000
76561198064346397,Mark,46.19682,3008,1002,30002
76561198078203272,Psycho No. 7,46.20779,3009,3000,2023
76561198106476018,[CTR]jandje,46.24435,49000001,3004,59000000
76561198052872868,Prepe,47.19167,1100,1000,2020
76561198838593572,invisiblecat8,47.25606,13005,1002,24005
76561198030459761,[RTR] I_stay_sideway,47.29303,38001,1008,2017
76561198043268277,Frog Mime,47.32633,33002,3006,20006
76561198257505444,Sett,47.42813,6001,2001,10000
76561198326232850,Sky,47.60518,1100,3000,6003
76561199218029567,MissMomo<3,47.77521,45003,1008,23010
76561199160205171,Mossbro,47.89128,3000,1000,2001
76561198155015234,VirusCookies,48.0623,15000,1008,11000
76561198091849339,Hi Im Yolo,48.16631,3005,1004,49000011
76561199319642879,Firdirk,48.31105,11000,1000,23000
76561199079152076,TheGerm,48.68539,1008,3004,10001
76561198079035062,Wortelstok,48.78036,39000,1003,2000
76561198031919228,Akane,48.78848,55000001,3006,30000000
76561199024815723,Buckmester Lambert,49.16005,1010,1010,23000
76561198251692488,Beanie Boi,49.19424,3001,2000,2001
76561198040976717,ttv/Lilly the Bun,49.3389,13004,2002,30000
76561198086671586,The Stig,49.36465,3005,1000,2021
76561197996376845,Arder,49.67966,3004,1003,2001
76561199126611636,sir_foucek,49.77876,12000000,2000,28000000
76561198799198486,manuel_widdel,49.98209,15001,1009,7000
76561199063264277,Mrcrazykid,50.12682,3001,1005,6003
76561199121410253,Saturnb,50.44362,8000,1003,1000
76561199008410061,tchrmschmidt,50.90937,15000,1005,6003
76561198031010319,AlyssaG,51.89852,33002,1008,1002
76561198252993168,Ant Supremacist,56.21228,5000,1008,21005
