SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198847576929,Lightning,39.13616,38006,3004,6300
76561198067925412,AndMe14,39.24487,15000,3000,5002
76561198050792757,justMaki,39.2833,38000000,3006,56000000
76561199491897925,DRDOOM,39.29201,6007,3006,5002
76561198008859132,Lazy_Echidna,39.55564,26005,3004,6500
76561199135775747,Renergy,39.72211,37004,2000,2002
76561198027169155,DeiRex,39.75062,38001,3004,22000
76561198021974488,[CTR] NathWalt,39.77963,6001,3000,14001
76561198081356099,[CTR] Sandals,39.79453,40000000,3006,28000
76561197965640463,L3it3R,39.81504,32000000,2001,29000000
76561198082304391,[CTR]TheBamboozler,39.83406,61000000,3002,18000001
76561198851912263,Lexer,39.83533,1014,3002,2020
76561198335037968,A2 Zecklord,39.84724,38001,1006,49000006
76561198932043314,Metalted,39.85095,37002,1002,23001
76561198052077385,schmxrg,39.98171,15001,1009,23005
76561199027567424,Hydro,40.08012,40000000,3001,14000000
76561199230094250,[RTR]Fwogiie.Kawaii,40.27102,3009,1008,10001
76561198152281654,Zarro,40.63021,38006,1003,28000
76561199112560691,BaasBallas,41.0884,3001,1005,2019
76561198072912743,Lynhardt,41.27659,3000,1006,10000000
76561198122154036,DragonBlood91D,41.45956,1100,3002,10001
76561198260195102,noodlemandan,41.663,49000012,1000,23000000
