SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198064346397,Mark,46.33941,3008,1002,30002
76561198106476018,[CTR]jandje,46.58341,49000014,3001,59000000
76561199126724675,ZOMAN,47.32623,3008,3001,60000000
76561198030459761,[RTR] I_stay_sideway,47.68803,6009,1008,2017
76561199487691428,Jrax144,47.95612,49000015,2001,2021
76561198047403251,St Nicholas,48.02012,3008,3001,23011
76561198081686672,[RTR] Not That Guy,48.11483,40000000,3004,58000000
76561198335037968,A2 Zecklord,48.15516,38001,1006,49000006
76561198842622746,Beans,49.036,5006,3004,29000
76561199083480800,lewis,49.13949,3007,1002,5000
76561198052872868,Prepe,49.36086,1100,1000,2020
76561198896246339,RoundNzt,49.4059,44000,1002,59000000
76561198932043314,Metalted,49.68267,37002,1002,23001
76561197995534351,Kaiser64,50.09093,37004,4004,23000
76561198043268277,A Broken Forklift,50.26771,33002,3006,20006
76561197996376845,Arder,51.44466,3004,1003,2001
76561198838593572,invisiblecat8,51.4943,13005,1002,24005
76561198031919228,Akane,51.4955,55000001,3006,30000000
76561198040976717,ttv/Lilly the Bun,52.05667,13004,2002,30000
76561197974809230,54mmy,52.10627,3001,1006,5000
76561198195303514,Mr. X,52.16676,26004,1004,23000
76561198851912263,Lexer,52.54237,1014,3002,2020
76561198091849339,Hi Im Yolo,53.61134,49000002,1004,49000006
76561199126272859,Bottomless,55.08376,22001,1011,5001
76561198207957111,Lord Mendigo,55.40757,45000,3006,35000000
76561198098720057,BearBobber,55.44681,33003,4001,1000
76561198040113746,Richhyyyy,55.60997,5004,3001,14000
76561199049047981,CPAGamer,56.88761,7000,2002,5002
