SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199027567424,Hydro,58.84756,40000000,3001,14000000
76561198008859132,Lazy_Echidna,60.34841,41000,3004,6500
76561198021974488,[CTR] NathWalt,60.40813,6001,3000,14001
76561199024808939,Kernkob,60.52904,36000000,3002,6200
76561199173536675,[CTR]OwlPlague,61.07712,41000,3001,60000000
76561198290668879,Socks242,61.10617,61000000,3004,57000000
76561198000962040,Chiquillo,61.49749,12000000,1004,23011
76561197965640463,[CTR]L3it3R,61.57303,32000000,2002,29000000
76561198067925412,AndMe14,61.67242,15000,3000,5002
76561198024214204,Despacito,62.07156,6010,3003,13000
76561199433869377,bluecarwater,62.67729,38001,1005,6003
76561198974231691,agix,63.87507,27000,4004,23001
