SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198106476018,[CTR]jandje,45.09401,49000014,3001,59000000
76561198064346397,Mark,45.2765,3008,1002,30002
76561198056301310,matt,46.54088,5000,1006,8001
76561198842622746,Beans,47.38556,5006,3004,29000
76561197996872205,Erko,47.84898,1001,3004,6004
76561198426839944,Galactichero623,48.38549,35002,1001,6004
76561198290668879,Socks242,48.9252,61000000,3004,57000000
76561198047403251,St Nicholas,49.71821,6007,3005,5001
76561198838593572,invisiblecat8,51.29419,13005,1002,24005
76561197964495214,mythorchid,51.777,35005,3004,29000
76561197975483812,Dunke,51.79978,22000,1000,2017
76561198207957111,Lord Mendigo,52.11547,45000,3006,35000000
76561198159073318,GuAlexItar,52.14888,32002,1005,10001
76561198353455576,GeneralYoda,52.20409,3001,1000,15005
76561198339626700,Devosaur_BBX,52.50472,38006,2000,24001
76561198052872868,Prepe,52.70948,1100,1000,2020
76561197996376845,Arder,52.98995,3004,1003,2001
76561198132707244,Shad0wCube,53.78246,25000,2001,7000
76561197965640463,[CTR]L3it3R,54.00935,32000000,2002,29000000
76561198362676937,Be Gentle,54.03785,37000,1000,9000
76561199085266774,Legendgold21,54.18888,38004,1001,6000
76561198043268277,A Broken Forklift,54.40654,33002,3006,20006
76561198031919228,Akane,54.88799,55000001,3006,30000000
76561198040976717,ttv/Lilly the Bun,56.64999,13004,2002,30000
76561198311835092,MichelleX,56.81616,2000,1008,1000
76561198145132822,cgwheeler96,57.31723,35005,1005,6005
76561198205446215,daniel,57.79879,8000,1005,7000
76561198000493194,MCRJAKE,57.96745,6002,2002,2000
76561197965415412,Henry The Bogard,59.75745,39000,1005,23000
76561199500726908,Deraghdreg,60.96449,49000016,1004,24000000
76561198397958107,Scorps,61.98014,4000,1006,3000
76561198097526773,LucikS,77.61024,2000,1008,1000
