SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198106476018,[CTR]jandje,41.21119,49000014,3001,59000000
76561198064346397,Mark,41.2616,3008,1002,30002
76561198047403251,St Nicholas,42.03675,38000000,3001,58000000
76561198851912263,Lexer,42.08717,1014,3002,2020
76561199292634733,Zodiak,42.09804,3008,3004,2025
76561197996872205,Erko,42.1473,1001,3004,6004
76561198091849339,Hi Im Yolo,42.1603,49000014,1004,21002
76561198991237382,[TD38] TraNin,42.37846,29000,3004,18000
76561198259463003,[CTR]R0nanC,42.60332,54000000,3000,6100
76561197975483812,Dunke,42.6767,22000,3006,2017
76561198096236961,koz,42.70866,3001,2000,14000
76561197996376845,Arder,42.87228,3004,1003,2001
76561199046555647,bernhard,42.88332,3002,4002,27000000
76561199053404858,[OR] Roader,43.03882,15000,2002,6005
76561199128388452,MrMackCheeseBalls,43.26034,37004,3000,19000
76561199013714548,Chapin,43.47922,38005,1006,2007
76561198932043314,Metalted,43.77029,45002,1002,23001
76561198383168783,Vrikka,43.87762,37005,1008,6001
76561198031919228,Akane,43.92924,55000001,3006,30000000
76561197989028539,Diabler,44.61803,22001,1001,22000
76561197993715322,Captain SemiColon,47.11462,5000,1004,2001
76561197997866088,Pilaf,47.70504,33002,1008,9003
76561199520248311,LegalMango,49.76892,38001,1006,23000
