SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,69.37648,40000000,3002,6200
76561198335037968,A2 Zecklord,69.38327,38001,1006,49000006
76561198205579857,Linzi,70.17449,3009,3006,58000000
76561198290668879,Socks242,70.22312,61000000,3004,57000000
76561198099832886,Zandirian,72.57104,1100,3001,6200
76561198842622746,Beans,72.97101,5006,3004,29000
76561198030459761,I_stay_sideway,73.14605,36000000,1008,2017
76561197965640463,[CTR]L3it3R,73.54248,32000000,2002,29000000
76561199173536675,[CTR]OwlPlague,74.88192,41000,3001,60000000
76561197980151170,Shadynook,75.81507,3001,1006,14001
76561198819018242,[TBR]TheBestMaidens,75.82904,3001,1005,21001
76561198200213958,Jmal :^),76.47321,3001,2000,29000000
76561199498272376,Jonas J.,76.93861,3007,3000,27000000
76561199128560669,GrahamPlayz8,77.83822,22002,1000,24002
76561198067925412,AndMe14,78.46835,15000,3001,58000000
76561199081467628,Darth9005,80.03334,38001,1005,6000
76561198311835092,MichelleX,80.47366,13004,1008,23007
76561198104669751,buppo,80.57584,25000,4003,8000
76561198074143294,TyTro,81.15736,38002,2000,4000
76561199192232300,YeetMaster,83.39739,25000,1003,22002
76561199085266774,Legendgold21,84.07482,38004,1001,6000
