SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,37.41282,40000000,3006,28000
76561198064346397,Mark,37.67889,3008,1002,30002
76561198851912263,Lexer,37.75261,1014,3002,58000000
76561198056301310,matt,37.77574,5000,1006,8001
76561198259463003,[CTR]R0nanC,37.85332,54000000,3000,6100
76561198030459761,Istaysideway,37.90415,36000000,1008,2017
76561198359568548,Kodiak,37.91698,49000010,3003,21002
76561198081686672,[RTR] Not That Guy,37.97527,3008,3004,58000000
76561198091849339,Hi Im Yolo,38.18121,49000015,1004,21002
76561199128492450,ITz_WillleeMan,38.20855,41000,1000,6000
76561198031919228,Akane,38.3757,55000001,3006,30000000
76561198285710168,dencar85,38.43531,22001,3003,58000000
76561198047403251,St Nicholas,38.43789,38000000,3001,58000000
76561198932043314,Metalted,38.50926,45002,1002,23001
76561198000593151,Triton,38.8872,40000,3000,10001
76561197975483812,Dunke,38.936,22000,3006,2017
76561198149636594,[KURK] Quickracer10,38.94704,3005,3004,23005
76561198080117545,AnIntenseMoist,39.208,25000,1003,5000
76561197996376845,Arder,39.42044,3004,1003,2001
76561198210248213,CodeingerCat,39.44172,38001,3006,10000
76561199242599801,[XTR]Hawk,39.50339,35006,1001,6004
76561197965053288,I Have No Fork,39.51354,7000,1004,10001
76561198008520019,Giganten,39.6032,15000,1003,2004
76561199046555647,bernhard,39.82255,3001,1009,2002
76561198131756122,FINSTER83,40.06538,38003,1004,10000
76561198035400760,BuddhaBladez,40.19725,38001,1006,2002
76561198311835092,MichelleX,40.65961,13004,1008,23007
76561198357638671,MeroMeroNoMi,41.03061,7003,1009,1007
76561198079708481,[DNF]Father Maldonado,42.12817,42000,2002,29000000
76561198870312435,[XTR] NATHAN,42.89093,3003,2000,14000000
76561198881238242,Im_Coled,43.47862,49000002,1002,6000
76561198076209946,maskeddog,43.82719,2003,1008,1002
76561198100200232,HylianAngler,45.40939,7000,1000,10000
