SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198047403251,St Nicholas,32.01411,38000000,3001,58000000
76561198050792757,justMaki,32.22619,40000000,3006,28000
76561198064346397,Mark,32.31167,3008,1002,30002
76561198359568548,Kodiak,32.46213,49000010,3003,21002
76561198851912263,Lexer,32.49077,1014,3002,58000000
76561198030459761,Istaysideway,32.53018,36000000,1008,2017
76561198149636594,[KURK] Quickracer10,32.56857,3005,3004,23005
76561198081686672,[RTR] Not That Guy,32.66869,3008,3004,58000000
76561197975483812,Dunke,32.67831,22000,3006,2017
76561198285710168,dencar85,32.69938,22001,3003,58000000
76561198259463003,[CTR]R0nanC,32.77713,54000000,3000,6100
76561198056301310,matt,32.84985,5000,1006,8001
76561198091849339,Hi Im Yolo,32.94862,49000015,1004,21002
76561199128492450,ITz_WillleeMan,33.00137,41000,1000,6000
76561199242599801,[XTR]Hawk,33.10161,35006,1001,6004
76561198932043314,Metalted,33.14965,45002,1002,23001
76561198080117545,AnIntenseMoist,33.22703,25000,1003,5000
76561198008520019,Giganten,33.29583,15000,1003,2004
76561198000593151,Triton,33.32983,40000,3000,10001
76561198311835092,MichelleX,33.36854,13004,1008,23007
76561198871908504,PoopSheriff,33.459,16000,4007,10000
76561198035400760,BuddhaBladez,33.53545,38001,1006,2002
76561199046555647,bernhard,33.5461,3001,1009,2002
76561199048581685,SENNA! Pingu,33.92763,38002,1011,2002
76561198210248213,CodeingerCat,33.94074,38001,3006,10000
76561197996376845,Arder,34.11457,3004,1003,2001
76561198079708481,[DNF]Father Maldonado,34.11622,42000,2002,29000000
76561198131756122,FINSTER83,34.41632,38003,1004,10000
76561198130056087,Amystique,34.4211,41000,3004,2017
76561198031919228,Akane,34.92103,55000001,3006,30000000
76561198870312435,[XTR] NATHAN,36.38184,3003,2000,14000000
