SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561197988996330,[CTR] LupensCruor,43.18795,41000,3005,6300
76561198082304391,[CTR]TheBamboozler,43.34823,63000000,3002,18000001
76561198290668879,Socks242,43.51394,63000000,3004,57000000
76561198335037968,A2 Zecklord,43.55127,38001,1006,49000006
76561199027567424,Hydro,43.58169,40000000,3001,57000000
76561199024808939,Kernkob,43.6703,40000000,3002,6200
76561199217544926,dirtyboy58,43.70298,22002,3002,5003
76561198067925412,AndMe15,43.75037,15000,1006,27000000
76561198052077385,schmxrg,43.95418,15001,1008,23005
76561198021974488,[CTR] NathWalt,44.19683,6001,3000,14001
76561199173536675,[CTR]OwlPlague,44.47464,61000000,3001,18000001
76561198842622746,Beans,44.63325,5006,3004,29000
76561198059628222,[CTR]zedShep,44.9967,49000010,1004,2019
76561199048674191,Viki842,45.08863,16000000,4004,22004
76561199128560669,GrahamPlayz8,45.32993,22002,3002,24002
76561198974231691,agix,45.86427,27000,4004,23001
76561199216713474,blakegomars,48.46765,25000,1000,2000
76561199229559159,luckyhaksor,49.21367,28003,1004,27000000
76561198881238242,Im_Coled,49.26427,49000002,1002,6000
76561199020822438,Kid_Falcon,49.5757,37000,1000,24000000
76561198323350544,Astropenguin,49.75194,7003,1006,2008
76561198845972587,SZ27,49.90315,38000,1009,23012
76561198124868209,hermitwolf,50.16877,27001,1002,5000
76561197994153639,RedPandaArmy,52.56106,11000000,1011,23012
76561198175249059,dermario,55.351,10000000,1004,10000000
