SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198335037968,A2 Zecklord,39.35609,38001,1006,49000006
76561198052077385,schmxrg,39.40528,15001,1008,23005
76561199027567424,Hydro,39.56561,40000000,3001,57000000
76561198033794112,VLR Johinar,39.59577,43000,2000,24000000
76561199024808939,Kernkob,39.6704,40000000,3002,6200
76561197988996330,[CTR] LupensCruor,39.71555,41000,3005,6300
76561198082304391,[CTR]TheBamboozler,39.80844,63000000,3002,18000001
76561198290668879,Socks242,39.81388,63000000,3004,57000000
76561199217544926,dirtyboy58,39.90832,22002,3002,5003
76561198021974488,[CTR] NathWalt,40.02142,6001,3000,14001
76561198059628222,[CTR]zedShep,40.08119,49000010,1004,2019
76561199173536675,[CTR]OwlPlague,40.23924,61000000,3001,18000001
76561199048674191,Viki842,40.57893,16000000,4004,22004
76561198974231691,agix,40.91878,27000,4004,23001
76561198067925412,AndMe15,40.94559,15000,1006,27000000
76561199128560669,GrahamPlayz8,40.96928,22002,3002,24002
76561198845972587,SZ27,41.75748,38000,1009,23012
76561198211255129,Tankxander,41.97314,15000,1000,5000
76561198124868209,hermitwolf,42.04707,27001,1002,5000
76561198283118333,Charlster101,42.28391,12000,2002,7000
76561199013714548,Chapin,42.55589,38005,1006,2007
76561198881238242,Im_Coled,42.7148,49000002,1002,6000
76561198323350544,Astropenguin,42.92685,7003,1006,2008
76561199229559159,luckyhaksor,44.07473,28003,1004,27000000
76561199216713474,blakegomars,55.5554,25000,1000,2000
