SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561197988996330,[CTR] LupensCruor,31.66706,41000,3005,6300
76561198052077385,schmxrg,31.67107,15001,1008,23005
76561198082304391,[CTR]TheBamboozler,32.00912,63000000,3002,18000001
76561198290668879,Socks242,32.12812,63000000,3004,57000000
76561199024808939,Kernkob,32.13295,40000000,3002,6200
76561198059628222,[CTR]zedShep,32.21209,49000010,1004,2019
76561198851912263,Lexer,32.38264,1014,3002,58000000
76561198335037968,A2 Zecklord,32.41123,38001,1006,49000006
76561198974231691,agix,32.50112,27000,4004,23001
76561198021974488,[CTR] NathWalt,32.63769,6001,3000,14001
76561199173536675,[CTR]OwlPlague,32.73082,61000000,3001,18000001
76561198067925412,AndMe15,32.8534,15000,1006,27000000
76561199048674191,Viki842,32.96277,16000000,4004,22004
76561198260675459,Quad,32.98296,25000,2000,5000
76561199128560669,GrahamPlayz8,33.21824,22002,3002,24002
76561199067761271,MagmaStone,33.52689,35003,1004,22001
76561198369693566,UNABONGER,34.91523,15000,1002,21002
