SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199126724675,[SL] ZOMAN,73.45687,3008,3001,60000000
76561198965056659,[HDWQ]zivecef,74.07147,38000000,3001,20002
76561198056301310,matt,74.60336,5000,1006,8001
76561198851912263,Lexer,74.92696,1014,3002,58000000
76561199180150756,GearworkDragon,75.14462,9000,1004,30003
76561198047403251,[cozy]St Nicholas,75.24583,38000000,3001,58000000
76561198064346397,[RTR]Mark,75.25829,3008,1002,30002
76561199242599801,[XTR]Hawk,75.38909,35006,1001,6004
76561198030459761,[GSR]Istaysideway,75.41792,36000000,1008,2017
76561199027567424,[SLOW] Hydro,75.73261,40000000,3001,57000000
76561197996872205,Erko,75.9674,1001,3004,6004
76561198259463003,[CTR]R0nanC,76.84237,54000000,3000,6100
76561199115313906,[OREO]Pigbuy,77.13067,3008,3001,49000002
76561198031919228,Akane,77.57654,55000001,3006,30000000
76561198838593572,invisiblecat8,77.65599,13005,1002,24005
76561199051019898,[heyo]potatotron,77.83878,38003,1006,5000
76561198335037968,[TBD]A2 Zecklord,78.04871,38001,1006,49000006
76561198932043314,Metalted,78.4627,45002,1002,23001
76561197980151170,Shadynook,78.89648,3001,1006,14001
76561198870312435,[XTR] NATHAN,79.16574,3003,2000,14000000
76561197996376845,Arder,79.38266,3004,1003,2001
76561198311835092,MichelleX,80.22246,13004,1008,23007
76561199002720572,vortex,80.5347,32000000,2001,23001
76561199128560669,GrahamPlayz8,84.73656,22002,3002,24002
76561198076209946,maskeddog,88.38613,2003,1008,1002
