SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,36.01848,42000000,5002,56000000
76561198064346397,[RTR]Mark,36.22798,3008,1002,30002
76561198047403251,[cozy]St Nicholas,36.74573,36000000,5001,32001
76561198030459761,[RTR]Istaysideway,37.24685,36000000,1008,2017
76561197965180640,Trapdoor,37.96823,16000000,2001,15000000
76561198017668945,Striking Vyper,38.04026,6001,1004,33002
76561198091849339,Hi Im Yolo,38.2474,22003,3002,56000000
76561197989028539,Diabler,38.25372,26005,1001,22000
76561198159073318,GuAlexItar,38.25815,32002,3001,22002
76561198048503797,AssassinLV,38.39396,38001,2002,6000
76561197980151170,Shadynook,38.46429,3001,1006,58000000
76561198259463003,[CTR]R0nanC,38.67057,54000000,3000,10002
76561198199830705,[badR] Hidef09,38.74571,13003,2000,2021
76561198031919228,Akane,38.76872,55000001,3006,30000000
76561198932043314,[ZMS] Metalted,38.83022,49000016,1002,32001
76561199037373763,Hate Hater,39.72625,12000000,1000,23000000
76561199138381808,[RonC] shadeely,39.96122,3009,3006,10002
76561198838593572,invisiblecat8,39.96428,13005,1002,24005
76561198311835092,MichelleX,40.09308,13004,1008,23007
76561198040113746,Richhyyyy,40.18696,5004,3001,14000
76561198402005981,jtc3161,40.24574,2000,1005,2002
76561198022170162,PredCat,40.39847,5004,3001,19000
76561197996376845,Arder,40.61341,3004,1003,2001
76561199543183666,Jinx,41.11975,5005,3000,31003
76561198073514582,klun_,41.42915,33000000,2002,20001
76561199542658420,Zinix,43.17857,15000,4000,23002
76561198076209946,maskeddog,47.02692,2003,1008,1002
76561198381735297,octolo,47.55455,11000,1006,10000
76561198098809740,Panda Pandemic,48.1424,3005,1000,2028
76561198027169155,DeiRex,49.40922,38001,3004,22000
76561199465214065,milokittykat,51.0107,45003,1007,11001
76561198166356802,[BKD] Beans,51.47844,12000000,1002,5000
76561198988806997,tev.vonalt,57.18311,2000,1004,5000
