SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199028380903,[RTR] flying_pancake12,48.09113,38000000,1003,2024
76561198050792757,justMaki,48.09134,42000000,5002,56000000
76561198064346397,[RTR]Mark,48.99103,3008,1002,30002
76561199126724675,[Dork] ZOMAN,49.19779,61000000,5001,59000000
76561198932043314,[ZMS] Metalted,49.60103,49000016,1002,32001
76561198047403251,[cozy]St Nicholas,49.75797,36000000,5001,32001
76561198259463003,[CTR]R0nanC,49.99136,54000000,3000,10002
76561198030459761,[RTR]Istaysideway,50.06894,36000000,1008,2017
76561197965180640,Trapdoor,50.52614,16000000,2001,15000000
76561198091849339,Hi Im Yolo,50.53882,22003,3002,56000000
76561198027169155,DeiRex,50.57387,38001,3004,22000
76561198159073318,GuAlexItar,50.6291,32002,3001,22002
76561198040113746,Richhyyyy,50.73312,5004,3001,14000
76561198008520019,Giganten,50.86107,41000,3001,2004
76561198022170162,PredCat,50.92425,5004,3001,19000
76561198017668945,Striking Vyper,50.94354,6001,1004,33002
76561199037373763,Hate Hater,51.13536,12000000,1000,23000000
76561197989028539,Diabler,51.20145,26005,1001,22000
76561197996376845,Arder,51.26756,3004,1003,2001
76561197980151170,Shadynook,51.34197,3001,1006,58000000
76561198098809740,Panda Pandemic,51.40504,3005,1000,2028
76561199138381808,[RonC] shadeely,51.57909,3009,3006,10002
76561198838593572,invisiblecat8,51.70712,13005,1002,24005
76561198031919228,Akane,52.21371,55000001,3006,30000000
76561198402005981,jtc3161,52.24124,2000,1005,2002
76561198048503797,AssassinLV,52.41873,38001,2002,6000
76561198073514582,klun_,52.437,33000000,2002,20001
76561198199830705,[badR] Hidef09,52.52537,13003,2000,2021
76561198799382760,alkalipanda,53.0701,36003,1000,5001
76561198166356802,[BKD] Beans,53.22953,12000000,1002,5000
76561198311835092,MichelleX,53.72741,13004,1008,23007
76561198381735297,octolo,55.17953,11000,1006,10000
76561198076209946,maskeddog,55.6955,2003,1008,1002
76561199465214065,milokittykat,65.73717,45003,1007,11001
