SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199028380903,[RTR] flying_pancake12,43.816,38000000,1003,2024
76561198050792757,justMaki,43.84016,42000000,5002,56000000
76561198064346397,[RTR]Mark,43.98604,3008,1002,30002
76561199126724675,[Dork] ZOMAN,44.10503,61000000,5001,59000000
76561198030459761,[RTR]Istaysideway,45.49118,36000000,1008,2017
76561198259463003,[CTR]R0nanC,45.70605,54000000,3000,10002
76561198047403251,[cozy]St Nicholas,45.74904,36000000,5001,32001
76561198008520019,Giganten,45.88914,41000,3001,2004
76561198091849339,Hi Im Yolo,45.91221,22003,3002,56000000
76561198311835092,MichelleX,46.043,13004,1008,23007
76561198932043314,[ZMS] Metalted,46.28701,49000016,1002,32001
76561198965056659,[ZST]zivecef,46.31759,38000000,5000,20002
76561198027169155,DeiRex,46.3178,38001,3004,22000
76561198017668945,Striking Vyper,46.79864,6001,1004,33002
76561197989028539,Diabler,46.82033,26005,1001,22000
76561198159073318,GuAlexItar,46.8719,32002,3001,22002
76561197980151170,Shadynook,46.87357,3001,1006,58000000
76561197965180640,Trapdoor,47.52124,16000000,2001,15000000
76561198166356802,[BKD] Beans,47.82413,12000000,1002,5000
76561198040113746,Richhyyyy,47.88329,5004,3001,14000
76561197996376845,Arder,48.12446,3004,1003,2001
76561198838593572,invisiblecat8,48.62848,13005,1002,24005
76561198022170162,PredCat,48.98043,5004,3001,19000
76561198048503797,AssassinLV,49.03582,38001,2002,6000
76561198402005981,jtc3161,49.08134,2000,1005,2002
76561198098809740,Panda Pandemic,49.24064,3005,1000,2028
76561199037373763,Hate Hater,49.28806,12000000,1000,23000000
76561198033254299,Bampin,49.61633,13002,3004,23004
76561198031919228,Akane,49.70134,55000001,3006,30000000
76561199138381808,[RonC] shadeely,49.83526,3009,3006,10002
76561198366099874,TusBro,51.53276,12000000,4000,9000
76561198076209946,maskeddog,52.03461,2003,1008,1002
76561198073514582,klun_,52.19449,33000000,2002,20001
76561199465214065,milokittykat,53.23558,45003,1007,11001
76561198381735297,octolo,55.21111,11000,1006,10000
