SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,36.44499,42000000,5002,56000000
76561198064346397,[RTR]Mark,37.14546,3008,1002,30002
76561198030459761,[RTR]Istaysideway,37.1959,36000000,1008,2017
76561199028380903,[RTR] flying_pancake12,37.20765,38000000,1003,2024
76561198159073318,GuAlexItar,37.99258,32002,3001,22002
76561198965056659,[ZST]zivecef,38.1557,38000000,5000,20002
76561198047403251,[cozy]St Nicholas,38.36819,36000000,5001,32001
76561198259463003,[CTR]R0nanC,38.62819,54000000,3000,10002
76561198091849339,Hi Im Yolo,38.67744,22003,3002,56000000
76561197980151170,Shadynook,39.46673,3001,1006,58000000
76561198027169155,DeiRex,39.56353,38001,3004,22000
76561197965180640,Trapdoor,39.73992,16000000,2001,15000000
76561199138381808,[RonC] shadeely,39.94308,3009,3006,10002
76561197996376845,Arder,40.49852,3004,1003,2001
76561198040113746,Richhyyyy,40.66002,5004,3001,14000
76561198073514582,klun_,40.77496,33000000,2002,20001
76561198932043314,[ZMS] Metalted,40.83419,49000016,1002,32001
76561198402005981,jtc3161,40.85995,2000,1005,2002
76561198311835092,MichelleX,40.99972,13004,1008,23007
76561198017668945,Striking Vyper,41.2473,6001,1004,33002
76561198838593572,invisiblecat8,41.54267,13005,1002,24005
76561198031919228,Akane,41.61125,55000001,3006,30000000
76561199037373763,Hate Hater,41.6705,12000000,1000,23000000
76561198033254299,Bampin,41.76415,13002,3004,23004
76561198098809740,Panda Pandemic,41.85104,3005,1000,2028
76561198048503797,AssassinLV,42.54402,38001,2002,6000
76561199012868424,[SORT] Mr_Shmear,42.88481,3007,2001,2019
76561198022170162,PredCat,43.14927,5004,3001,19000
76561197989028539,Diabler,43.28245,26005,1001,22000
76561199046555647,bernhard,43.28419,3006,1003,2000
76561198076209946,maskeddog,44.51997,2003,1008,1002
76561198166356802,[BKD] Beans,44.98244,12000000,1002,5000
76561198366099874,TusBro,47.54383,12000000,4000,9000
76561199465214065,milokittykat,54.83911,45003,1007,11001
