SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,41.86035,42000000,5002,56000000
76561199028380903,[RTR] flying_pancake12,42.01771,38000000,1003,2024
76561198064346397,[RTR]Mark,42.09383,3008,1002,30002
76561198047403251,[cozy]St Nicholas,42.28219,36000000,5001,32001
76561198017668945,Striking Vyper,42.36058,6001,1004,33002
76561198159073318,GuAlexItar,43.08543,32002,3001,22002
76561198965056659,[ZST]zivecef,43.2404,38000000,5000,20002
76561198030459761,[RTR]Istaysideway,43.3499,36000000,1008,2017
76561198932043314,[ZMS] Metalted,44.3944,49000016,1002,32001
76561197980151170,Shadynook,44.46927,3001,1006,58000000
76561198091849339,Hi Im Yolo,44.6236,22003,3002,56000000
76561197965180640,Trapdoor,44.71618,16000000,2001,15000000
76561198838593572,invisiblecat8,45.31461,13005,1002,24005
76561198027169155,DeiRex,45.3307,38001,3004,22000
76561197996376845,Arder,45.92259,3004,1003,2001
76561198040113746,Richhyyyy,45.98868,5004,3001,14000
76561198259463003,[CTR]R0nanC,46.83927,54000000,3000,10002
76561198402005981,jtc3161,47.57238,2000,1005,2002
76561198048503797,AssassinLV,47.79268,38001,2002,6000
76561199138381808,[RonC] shadeely,48.19106,3009,3006,10002
76561199046555647,bernhard,48.30011,3006,1003,2000
76561198033254299,Bampin,48.4342,13002,3004,23004
76561198022170162,PredCat,48.57544,5004,3001,19000
76561197989028539,Diabler,48.79636,26005,1001,22000
76561199037373763,Hate Hater,49.16914,12000000,1000,23000000
76561198098809740,Panda Pandemic,49.1909,3005,1000,2028
76561198311835092,MichelleX,49.42207,13004,1008,23007
76561198021763357,Renowneddragoon,49.6432,38003,1001,5001
76561198366099874,TusBro,50.29118,12000000,4000,9000
76561198073550958,Pungo,50.62328,38001,1004,29000000
76561198073514582,klun_,51.09435,33000000,2002,20001
76561199173218163,[HRT!] Ivy_Pancakes,51.35793,35006,1008,2017
76561198076209946,maskeddog,51.46764,2003,1008,1002
76561199012868424,[SORT] Mr_Shmear,52.34561,3007,2001,2019
76561198031919228,Akane,52.56818,55000001,3006,30000000
76561198151320543,[Toe] Tanaka,53.32802,37001,1002,49000013
76561198025001349,gtub,55.39592,26000000,1005,7000
76561198166356802,[BKD] Beans,55.41753,12000000,1002,5000
76561199465214065,milokittykat,59.05872,45003,1007,11001
76561198008958939,Zeth,59.75333,3000,1002,49000002
