SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198205579857,Linzi,38.95623,38000000,5002,32001
76561198082304391,[CTR]TheBamboozler,39.12648,63000000,5000,58000000
76561198974231691,agix,39.15217,27000,4004,23001
76561198290668879,[Soap] Socks242,39.34876,63000000,5001,57000000
76561199027567424,[SLOW] Hydro,39.38078,40000000,3001,57000000
76561198180909591,Odist,39.41986,3005,2000,24000000
76561198851912263,Lexer,39.51218,1014,3002,58000000
76561199173536675,[CTR]OwlPlague,39.51593,61000000,5000,68000000
76561199024808939,Kernkob,39.63551,40000000,3002,6200
76561199144917715,FORT OFF,39.89284,15000,1008,23001
76561198335037968,A2 Zecklord,39.91676,37004,1006,33001
76561199051019898,[heyo]potatotron,40.11428,38003,1006,5000
76561198079614887,The Law,40.54794,38001,1006,23000
76561198094112342,EdhiLuengo,40.70118,8000,1005,10000000
76561199060323532,deathcount610,40.722,22001,1001,49000002
76561198318584924,Wooster,41.81347,26001,1002,6005
76561198124868209,hermitwolf,41.86285,27001,1002,5000
76561198147923445,Aetherhead,42.8783,38001,1006,24002
