SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,50.97608,42000000,5002,56000000
76561198064346397,[RTR]Mark,51.53716,3008,1002,30002
76561199135775747,[TOOB] Renergy,51.55917,37004,3004,18000000
76561199230094250,[RTR]Fwogiie,51.8012,3009,1008,31005
76561198106476018,[CTR]jandje,52.24126,61000000,3001,59000000
76561199128560669,Graham The Guy,53.02238,22002,3002,59000000
76561197980151170,Shadynook,53.07738,3001,1006,58000000
76561197970830160,Cactushead,53.12139,38001,1004,2004
76561198047403251,St Nicholas,53.72648,36000000,5001,72000000
76561198160604987,[EVO]Tritonas1237,54.00152,36000000,5000,6200
76561198932043314,[ZMS] Metalted,54.5626,49000016,1002,32000
76561198027169155,DeiRex,54.5736,38001,3004,22000
76561198024214204,Despacito,54.60661,29000,2001,13000
76561198031919228,Akane,55.42072,55000001,3006,30000000
76561198072185237,Nails,55.49773,28003,2000,14000
76561197996376845,Arder,55.60775,3004,1003,2001
76561198048503797,AssassinLV,55.81678,38001,2002,6000
76561199278221929,icRS,57.47802,30001,1008,32002
