SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198290668879,[Soap] Socks242,50.382,63000000,5001,57000000
76561198416930050,[oops] Wombat!,50.55802,4001,3006,21005
76561198052077385,[doge] schmxrg,50.55802,15001,1009,32001
76561199144917715,FORT OFF,50.65704,15000,1008,23001
76561199024808939,Kernkob,50.80006,40000000,3002,6200
76561198161379363,[CTR]Cbad Cruiser,50.97608,22000,5001,27000
76561198851912263,Lexer,50.99809,1014,3002,58000000
76561198335037968,A2 Zecklord,51.30613,37004,5001,43000000
76561199173536675,[CTR]OwlPlague,51.30613,61000000,5000,68000000
76561198008859132,[TOG]Lazy_Echidna,51.35014,26005,3004,22001
76561198030459761,[RTR]Istaysideway,51.48215,36000000,1008,2017
76561198974231691,agix,51.53716,27000,4004,23001
76561198111967925,lerollman,51.64718,11000000,1004,10000
76561199051019898,[heyo]potatotron,52.24126,38003,1006,5000
76561199005549942,3rdseyeview,52.26327,38000000,1006,15000000
76561198934033785,OgelGames,52.29627,3001,1005,2001
76561198067925412,AndMe16,52.76934,15000,3001,58000000
76561198314320065,DeeDeeNaNaNa,53.06638,49000002,4000,11000
76561198091849339,[HRR] Hi Im Yolo,53.30842,49000015,3002,56000000
76561198347267505,jackflef,54.00152,13000,2001,2002
76561198158497194,[MM] mori_cinis,57.05996,42000,1011,33001
