SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198052077385,[doge] schmxrg,40.87663,15001,1009,32001
76561198008859132,[TOG]Lazy_Echidna,41.07465,26005,3004,22001
76561199024808939,Kernkob,41.23968,40000000,3002,6200
76561198290668879,[Soap] Socks242,41.33869,63000000,5001,57000000
76561198335037968,A2 Zecklord,41.44871,37004,5001,43000000
76561198851912263,Lexer,41.45971,1014,3002,58000000
76561198161379363,[CTR]Cbad Cruiser,41.80076,22000,5001,27000
76561198416930050,[oops] Wombat!,42.28483,4001,3006,21005
76561198974231691,agix,42.35084,27000,4004,23001
76561198125000151,Irisdice,42.60387,31000000,3000,23010
76561198067925412,AndMe16,42.7799,15000,3001,58000000
76561198934033785,OgelGames,43.29697,3001,1005,2001
76561199051019898,[heyo]potatotron,43.43999,38003,1006,5000
76561198030459761,[RTR]Istaysideway,45.26626,36000000,1008,2017
76561199173536675,[CTR]OwlPlague,46.2344,61000000,5000,68000000
76561198314320065,DeeDeeNaNaNa,46.83949,49000002,4000,11000
