SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198106476018,[CTR]jandje,43.76711,61000000,3001,59000000
76561199027567424,Hydro,44.31169,40000000,3001,57000000
76561198030459761,[RTR]Istaysideway,44.31955,30001,1008,57000000
76561199230094250,[RTR]Fwogiie,44.35971,3009,1008,31005
76561199135775747,[WSHD] Renergy,44.52698,37004,3004,18000000
76561198047403251,St Nicholas,44.53508,36000000,5001,71000000
76561198104372256,[ZST] Jakie,44.55039,61000000,5000,18000001
76561198896246339,RoundNzt,44.622,44000,5001,59000000
76561198965056659,[ZST]zivecef,44.73819,40000000,5000,20002
76561198081686672,[GANS] Not That Guy,45.20664,3008,3004,58000000
76561198008859132,[TOG]Lazy_Echidna,45.21053,26005,3004,22001
76561198259463003,[CTR]R0nanC,45.37171,54000000,3000,10002
76561198159073318,GuAlexItar,45.39065,32002,3001,22002
76561198974231691,agix,45.41724,27000,4004,23001
76561198027169155,DeiRex,45.67745,38001,3004,22000
76561198072912743,Lynhardt,45.79311,6000,1006,22004
76561199128560669,Graham The Guy,46.26136,22002,3002,59000000
76561199242599801,[XTR]Hawk,46.36654,35006,1001,6004
76561198447684490,Rigenix,46.48034,16000000,1005,15000000
76561198359568548,Kodiak,46.85458,49000010,3003,66000000
76561198031919228,Akane,46.90672,55000001,3006,30000000
76561199138381808,Shadeely,46.96752,3009,3006,10002
76561198314320065,DeeDeeNaNaNa,47.09423,49000002,4000,11000
76561197996376845,Arder,47.41476,3004,1003,2001
76561197980151170,Shadynook,47.44122,3001,1006,58000000
76561197989028539,Diabler,47.60947,1007,1001,22000
76561199073700659,MasterGamer64,47.85015,3001,1004,34000000
76561198932043314,[ZMS] Metalted,48.07601,1012,5001,29000
76561198003528539,Orange Sheets,48.27764,23000,1002,28000
76561198048503797,AssassinLV,48.83171,38001,2002,6000
76561198870312435,[XTR] NATHAN,49.21384,3003,2000,14000000
76561198081582445,Penguinatic,49.43678,11000000,1004,23000
76561198076209946,maskeddog,51.83521,2003,1008,1002
76561198334567850,FierceThundr_,53.28878,38001,2000,2001
