SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,Kernkob,46.38338,40000000,3002,6200
76561198052077385,schmxrg,46.39756,15001,5002,23008
76561198851912263,Lexer,46.53936,1014,3002,34000000
76561198082304391,[CTR]TheBamboozler,46.73438,63000000,5000,58000000
76561198047403251,St Nicholas,46.87317,36000000,5001,72000000
76561199027567424,Hydro,47.01011,61000000,3004,57000000
76561198934033785,OgelGames,47.57777,3001,1005,2001
76561199173536675,[CTR]OwlPlague,47.74407,61000000,5000,68000000
76561198180909591,[WAM]Odist,48.14354,41001,3003,71000000
76561197965640463,[CTR]L3it3R,48.40631,32000000,2001,29000000
76561199502117194,RousRoo,49.60348,3000,1002,5100
76561198144551155,Termite,49.61017,20000,1004,23012
76561198211255129,Tankxander,50.38675,15000,1000,5000
76561198000529645,YTButItRuns,50.52712,3001,1009,8000
76561198946416243,CrackerBarrel Gaming,51.94728,26004,2002,23011
76561198824465660,joel,52.18993,3001,1005,6004
