SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198896246339,RoundNzt,53.46292,44000,5001,59000000
76561199230094250,[l3pu]Fwogiie,53.54339,3005,3003,70000000
76561198050792757,justMaki,53.92048,38000000,3006,56000000
76561198851912263,Lexer,54.16954,1014,3002,58000000
76561198078203272,[PTSD]Psycho No. 7,54.42663,3008,5000,57000000
76561198974231691,agix,54.64989,27000,4004,23001
76561199135775747,[TOOB] Renergy,54.80658,37004,3000,60000000
76561198047403251,[92BB]St Nicholas,55.01591,36000000,5001,72000000
76561198205579857,Linzi,55.03451,38000000,5002,32001
76561197989028539,Diabler,55.30329,1007,1001,22000
76561198008859132,[TOG]Lazy_Echidna,55.30598,26005,3004,22001
76561197980151170,Shadynook,55.4022,3001,1006,58000000
76561198027169155,DeiRex,55.46953,38001,3004,22000
76561198932043314,[ZMS] Metalted,55.51227,38002,5001,72000000
76561198042873074,krisu,56.1252,49000002,1002,10000000
76561198037649622,Hairybroness,56.74913,26004,2001,22006
76561198109881901,Kabs666,57.34127,30001,1001,33000
76561198031919228,Akane,57.44156,41001,3006,30000000
76561198314320065,DeeDeeNaNaNa,57.56309,49000002,4000,71000000
76561197996376845,Arder,57.59906,3004,1003,2001
76561198003528539,Orange Sheets,58.19979,23000,1002,28000
76561198076209946,maskeddog,59.02645,2003,1008,1002
76561198089108680,junkabroad,59.21159,49000004,1000,49000013
76561198042480262,Fertminster,60.63647,25000,1000,7000
76561198318696429,coasterdean,61.02499,23000,1000,2000
76561199196339657,hanksterphill,67.00236,49000005,2002,6000
76561199085884830,Enderdragon7670,76.10086,25000,1000,4000
