SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,36.738,38000000,3006,56000000
76561199230094250,[l3pu]Fwogiie,36.83527,3005,3003,70000000
76561199135775747,[TOOB] Renergy,37.02924,37004,3000,60000000
76561198078203272,[PTSD]Psycho No. 7,37.13184,3008,5000,57000000
76561198974231691,agix,37.21765,27000,4004,23001
76561197989028539,Diabler,37.23687,1007,1001,22000
76561198896246339,RoundNzt,37.25515,44000,5001,59000000
76561198205579857,Linzi,37.27501,38000000,5002,32001
76561198047403251,[92BB]St Nicholas,37.30901,36000000,5001,72000000
76561198851912263,Lexer,37.38673,1014,3002,58000000
76561198027169155,DeiRex,37.38769,38001,3004,22000
76561198076209946,maskeddog,37.61789,2003,1008,1002
76561198008859132,[TOG]Lazy_Echidna,37.64045,26005,3004,22001
76561198259463003,R0nanC,37.70491,54000000,3000,10002
76561198932043314,[ZMS] Metalted,37.87907,38002,5001,72000000
76561198109881901,Kabs666,37.91933,30001,1001,33000
76561197980151170,Shadynook,38.11654,3001,1006,58000000
76561198037649622,Hairybroness,38.12324,26004,2001,22006
76561199093696791,[ ] Unais,38.15651,37004,3003,1005
76561198003528539,Orange Sheets,38.16767,23000,1002,28000
76561198314320065,DeeDeeNaNaNa,38.16832,49000002,4000,71000000
76561198042873074,krisu,38.30492,49000002,1002,10000000
76561197996376845,Arder,38.3348,3004,1003,2001
76561198166830935,Bo0mSlAnG,38.59185,38001,2002,5100
76561199085884830,Enderdragon7670,40.02329,25000,1000,4000
76561198031919228,Akane,40.86063,41001,3006,30000000
76561198171222118,b17bobby,42.63213,3003,1011,2004
76561198318696429,coasterdean,48.63103,23000,1000,2000
