SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,65.29256,38000000,3006,56000000
76561198851912263,Lexer,65.3036,1014,3002,58000000
76561199230094250,[l3pu]Fwogiie,65.34612,3005,3003,70000000
76561198078203272,[PTSD]Psycho No. 7,65.50443,3008,5000,57000000
76561198896246339,RoundNzt,65.74455,44000,5001,59000000
76561198047403251,[92BB]St Nicholas,65.88403,36000000,5001,72000000
76561198205579857,Linzi,66.00243,38000000,5002,32001
76561198974231691,agix,66.40453,27000,4004,23001
76561198031919228,Akane,66.67993,41001,3006,30000000
76561197980151170,Shadynook,66.77914,3001,1006,58000000
76561198259463003,R0nanC,67.26572,54000000,3000,10002
76561198008859132,[TOG]Lazy_Echidna,67.26614,26005,3004,22001
76561198932043314,[ZMS] Metalted,67.34329,38002,5001,72000000
76561198027169155,DeiRex,67.67415,38001,3004,22000
76561198314320065,DeeDeeNaNaNa,67.86015,49000002,4000,71000000
76561198003528539,Orange Sheets,67.87683,23000,1002,28000
76561197970830160,Cactushead,67.97684,38001,1004,2004
76561198109881901,Kabs666,68.45125,30001,1001,33000
76561197996376845,Arder,68.54716,3004,1003,2001
76561198188000129,[MAC-ATTACC] RobertoLamp72323,69.0927,26003,4003,21002
76561197989028539,Diabler,71.16206,1007,1001,22000
76561198076209946,maskeddog,72.98092,2003,1008,1002
76561199196339657,hanksterphill,74.00828,49000005,2002,6000
76561198112018536,Gingerlexa,79.76622,1000,1002,6003
76561198318696429,coasterdean,84.59293,23000,1000,2000
