SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199126724675,ZOMAN,29.46796,35000,3001,6000
76561198205579857,Linzi,29.52276,38000000,5002,32001
76561198896246339,RoundNzt,29.56657,44000,5001,59000000
76561198072912743,Lynhardt,29.75787,6000,1006,22004
76561198047403251,St Nicholas,29.86924,36000000,5001,72000000
76561197980151170,Shadynook,29.90813,36000000,1006,71000000
76561198008859132,[TOG]Lazy_Echidna,29.99415,26005,3004,22001
76561198932043314,[ZMS] Metalted,30.01193,13000,5001,23008
76561198111674880,[ZET]a_random_tumbleweed,30.03583,32000,1007,31003
76561198031919228,Akane,30.19129,41001,3006,30000000
76561198027169155,DeiRex,30.19853,38001,3004,22000
76561198314320065,DeeDeeNaNaNa,30.22197,49000002,4000,11000
76561197970830160,Cactushead,30.30291,38001,1004,2004
76561198974231691,agix,30.32023,27000,4004,23001
76561199051019898,[heyo]Mr. Hubub,30.37001,38003,1006,5000
76561198003528539,Orange Sheets,30.42569,23000,1002,28000
76561198809350288,Italian Stallion,30.46106,11000000,4000,2001
76561197989028539,Diabler,30.54014,1007,1001,22000
76561198318584924,Papa Prime,30.63312,25000,1002,6005
76561197996376845,Arder,30.71503,49000006,1002,2001
76561198838593572,invisiblecat8,30.77765,13005,1002,24005
76561198076209946,maskeddog,31.06765,2003,1008,1002
76561198145132822,cgwheeler96,31.70861,35005,1005,6005
76561197978173991,Wauk33n,32.19377,3007,2002,28000
76561199246124319,wizprg16,33.64555,4000,1000,1000
