SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,49.82156,40000000,3002,6200
76561198052077385,[dogg] schmxrg,50.02213,15001,5002,32001
76561198851912263,Lexer,50.06944,1014,3002,58000000
76561198047403251,St Nicholas,50.52742,36000000,5001,72000000
76561198082304391,[CTR]TheBamboozler,50.56342,63000000,5000,58000000
76561199173536675,[CTR]OwlPlague,50.97769,61000000,5000,68000000
76561197965640463,[CTR] L3it3R,51.09746,32000000,2001,29000000
76561198131756122,FINSTER83,51.55074,38003,1004,2004
76561198069518352,Lord Rahl,51.92554,49000015,2000,11000
76561198144551155,Termite,52.50131,20000,1004,23012
76561198122264884,Snorbistains,52.98294,3003,1004,7000
76561198145132822,cgwheeler96,53.21466,35005,1005,6005
76561199196339657,hanksterphill,53.86821,49000005,2002,6000
76561198041670380,W351D3,55.11583,15000,4007,23011
76561198162390631,[CLWN]DocRee,57.63152,49000008,1010,6502
