SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,29.40844,40000000,3002,6200
76561198047403251,St Nicholas,29.69175,36000000,5001,72000000
76561198052077385,[dogg] schmxrg,29.7984,15001,5002,32001
76561199173536675,[CTR]OwlPlague,29.8446,61000000,5000,68000000
76561198082304391,[CTR]TheBamboozler,29.86244,63000000,5000,58000000
76561197965640463,[CTR] L3it3R,30.15783,32000000,2001,29000000
76561198815368678,ahyup,30.19778,1002,2001,2000
76561198131756122,FINSTER83,30.20182,38003,1004,2004
76561197975920245,Es3en,30.3136,23000,2001,19001
76561198144551155,Termite,31.20603,20000,1004,23012
76561198069518352,Lord Rahl,31.30691,49000015,2000,11000
76561198122264884,Snorbistains,31.52741,3003,1004,7000
76561198145132822,cgwheeler96,31.78654,35005,1005,6005
76561198811535392,[ATB]reholmes92,31.82581,3001,2002,5000
76561198147923445,Aetherhead,31.9568,38001,1006,24002
76561199526768971,IS2010,32.23331,36001,1006,6003
76561198162390631,[CLWN]DocRee,32.50695,49000008,1010,6502
