SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,38.75768,40000000,3002,6200
76561198081356099,[CTR] Sandals,38.81641,40000000,3006,69000000
76561198052077385,[dogg] schmxrg,38.95758,15001,5002,32001
76561198416930050,[oops] Wombat!,39.09855,38000000,3006,31003
76561198851912263,Lexer,39.3755,1014,3002,58000000
76561198008859132,[TOG]Lazy_Echidna,39.60079,26005,3004,22001
76561198161379363,[CTR]Cbad Cruiser,39.85425,22000,5001,18000000
76561198314320065,DeeDeeNaNaNa,39.90916,49000002,4000,11000
76561199027567424,[CTR]Hydro,40.14008,61000000,3001,57000000
76561199051019898,[heyo]Mr. Hubub,41.77002,38003,1006,5000
76561197963702040,[RB]Chinpokomon,41.94918,37004,4003,13000
76561198083545292,Bean,42.28062,45003,1008,23007
76561198144551155,Termite,42.44749,20000,1004,23012
76561198946109246,Wilbert,42.81713,41001,3004,24002
76561199150086335,[ZET]toast,43.38846,37004,3001,10001
76561198824465660,joel,43.55637,3001,1005,6004
76561199095914675,Dot,46.59723,35008,1010,28000
