SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,63.93636,38000000,3006,23002
76561197989028539,Diabler,65.95806,1007,1001,22000
76561197996872205,Erko,66.07903,1001,3004,6004
76561199230094250,[RTR]Fwogiie,66.08537,3005,3003,56000000
76561198047403251,St Nicholas,66.33675,36000000,5001,72000000
76561198067925412,AndMe16,66.40534,15000,3001,58000000
76561198896246339,RoundNzt,66.43328,44000,5001,59000000
76561198125435428,JobW,66.74286,36000000,3000,8001
76561198027169155,DeiRex,66.85596,38001,3004,22000
76561198091849339,Hi Im Yolo,66.89629,36000000,3002,56000000
76561198846673916,Matic_D,66.89731,26005,2002,22002
76561197996376845,Arder,67.16176,49000006,1002,2001
76561198974231691,agix,67.233,27000,4004,23001
76561197999431502,[HRR] readfreak7,67.44497,3001,1000,6004
76561198031919228,Akane,67.7578,41001,3006,30000000
76561198851912263,Lexer,67.7742,1014,3002,58000000
76561198428660617,BB_Benji,68.34337,13005,1005,24005
76561198402005981,jtc3161,68.50172,2000,1005,2002
76561198109881901,Kabs666,68.81649,30001,1001,33000
76561197980151170,Shadynook,69.14149,36000000,1006,71000000
76561198003528539,Orange Sheets,69.57117,23000,1002,28000
76561198983425377,Chupa Cu de Goianinha,69.83817,16000000,1001,14000000
76561198932043314,[ZMS] Metalted,70.30393,13005,5001,58000000
76561198048503797,AssassinLV,70.40483,38001,2002,6000
76561199155296520,neno,71.14399,3007,1003,22004
76561198076209946,maskeddog,71.17645,2003,1008,1002
76561199287869908,Ionjig,71.87347,49000017,3004,49000002
76561199542364669,amylou1132,80.82127,38001,1006,2017
76561199282497311,groovy,82.43929,1014,1001,23011
