SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,47.91979,40000000,3002,6200
76561198416930050,[oops] Wombat!,48.17576,38000000,3006,31003
76561199027567424,[CTR]Hydro,48.83158,61000000,3001,57000000
76561198052077385,[dogg] schmxrg,48.98871,15001,5002,32001
76561198081356099,[CTR] Sandals,49.24204,40000000,3006,69000000
76561198161379363,[CTR]Cbad Cruiser,50.3769,22000,5001,18000000
76561198008859132,[TOG]Lazy_Echidna,50.485,26005,3004,22001
76561198851912263,Lexer,50.82082,1014,3002,58000000
76561199144056798,ArmchairPolymath,51.12134,35002,3005,23011
76561199051019898,[heyo]Mr. Hubub,51.15545,38003,1006,5000
76561198314320065,DeeDeeNaNaNa,51.84112,49000002,4000,11000
76561197963702040,[RB]Chinpokomon,53.64923,37004,4003,13000
76561198083545292,Bean,53.9342,45003,1008,23007
76561198823854710,Alaskaman79,53.97297,11000000,3003,20000
76561199150086335,[ZET]toast,54.59508,37004,3001,10001
76561198144551155,Termite,55.14056,20000,1004,23012
76561198824465660,joel,56.28444,3001,1005,6004
