SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,57.89959,40000000,3002,6200
76561198052077385,[dogg] schmxrg,57.93472,15001,5002,32001
76561199027567424,[CTR]Hydro,57.96254,61000000,3001,57000000
76561198416930050,[oops] Wombat!,58.22907,38000000,3006,31003
76561198161379363,[CTR]Cbad Cruiser,58.47075,22000,5001,18000000
76561198019659175,Revenger_19,58.72008,1000,1000,1000
76561198081356099,[CTR] Sandals,58.87151,40000000,3006,69000000
76561198008859132,[TOG]Lazy_Echidna,59.41557,26005,3004,22001
76561199144056798,ArmchairPolymath,60.2974,35002,3005,23011
76561198111967925,lerollman,60.54485,11000000,1004,10000
76561198314320065,DeeDeeNaNaNa,61.38915,49000002,4000,11000
76561199051019898,[heyo]Mr. Hubub,61.44138,38003,1006,5000
76561198210248213,CodeingerCat,61.60969,38001,3005,10000
76561198083545292,Bean,63.49041,45003,1008,23007
76561197963702040,[RB]Chinpokomon,63.73329,37004,4003,13000
76561198144551155,Termite,63.85039,20000,1004,23012
76561197976667169,youngtech,67.59879,8000,1002,29000000
76561198824465660,joel,67.98244,3001,1005,6004
