SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198052077385,[dogg] schmxrg,41.9888,15001,5002,32001
76561199024808939,[CTR]Kernkob,42.09618,40000000,3002,6200
76561199027567424,[CTR]Hydro,42.24132,61000000,3001,57000000
76561198019659175,Revenger_19,42.3148,1000,1000,1000
76561198416930050,[oops] Wombat!,42.33549,38000000,3006,31003
76561198081356099,[CTR] Sandals,42.56792,40000000,3006,69000000
76561198161379363,[CTR]Cbad Cruiser,42.58237,22000,5001,18000000
76561198008859132,[TOG]Lazy_Echidna,42.9035,26005,3004,22001
76561199144056798,ArmchairPolymath,42.92081,35002,3005,23011
76561198111967925,lerollman,42.98709,11000000,1004,10000
76561198210248213,CodeingerCat,43.19582,38001,3005,10000
76561198314320065,DeeDeeNaNaNa,43.86284,49000002,4000,11000
76561198824465660,joel,45.85311,3001,1005,6004
76561198083545292,Bean,46.0327,45003,1008,23007
76561198144551155,Termite,46.50492,20000,1004,23012
76561198030296976,Kyndagh,46.86852,38001,1006,11000
76561198091562078,Scribdibble,47.80009,3002,1004,3000
76561197976667169,youngtech,50.1311,8000,1002,29000000
76561199574752712,jacksongilleland11,64.63818,3001,1005,3000
