SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199230094250,[RTR]Fwogiie,23.22606,3005,3003,56000000
76561197996872205,Erko,23.69283,1001,3004,6004
76561198974231691,agix,23.73247,27000,4004,23001
76561198001387193,[CHR]Warcans,23.76905,36000000,4004,27000000
76561197965180640,Trapdoor,23.82965,16000000,2001,15000000
76561199208124083,[Fren] rtyyyyb,23.9127,3000,3001,2015
76561198988960546,F1Y1NGDUTCHM8N,24.13517,3000,1006,25000000
76561198027169155,DeiRex,24.18062,38001,3004,22000
76561198314320065,DeeDeeNaNaNa,24.25375,49000002,4000,11000
76561198259463003,R0nanC,24.27198,54000000,3000,10002
76561198932043314,[ZMS] Metalted,24.30567,37004,5001,29000
76561198383168783,[BROT] Vrikka,24.32741,26002,1007,24004
76561197996376845,Arder,24.36795,49000006,1002,2001
76561197980151170,Shadynook,24.37847,36000000,1006,71000000
76561198031919228,Akane,24.43071,41001,3006,30000000
76561199210216294,spaps,24.53281,13003,1005,21002
76561198059495025,mr.Jelle-Beat,24.67916,12000000,2002,23000000
76561198003528539,Orange Sheets,24.74557,23000,1002,28000
76561197970830160,Cactushead,24.93869,38001,1004,2004
76561198272149572,Mr. Cranky,25.29482,1007,1007,25000000
76561198317089945,ThePetersson,25.34153,1014,1001,2003
76561199013490365,JFK,25.56027,49000001,2000,29000000
76561198992476911,Cheesy Cheeses,25.64698,45000,1001,31004
76561198067512485,Ben Dover Kenobi,25.73518,42000,2001,24000000
76561198076209946,maskeddog,26.00483,2003,1008,1002
76561198032058898,Hippolyte,26.35697,26003,5000,19000
76561198096387242,VIKING PEPE,27.82935,3005,1011,24000
76561198126370450,hoseppan,28.13671,1002,4003,49000001
76561198162390631,[CLWN]DocRee,31.28839,49000008,1010,6502
