SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199024808939,[CTR]Kernkob,28.90846,40000000,3002,6200
76561198871908504,[Poop]Sheriff,28.94704,36000000,4006,19001
76561198205579857,Linzi,29.01573,38000000,5002,32001
76561198161379363,[CTR]Cbad Cruiser,29.09865,22000,5001,18000000
76561198851912263,Lexer,29.10823,1014,3002,58000000
76561199173536675,[CTR]OwlPlague,29.17453,61000000,5000,68000000
76561198111967925,lerollman,29.21683,11000000,1004,10000
76561199128492450,ITz_WillleeMan,29.29366,41000,1000,6000
76561198021974488,[CTR] NathWalt,29.34199,6001,3000,14001
76561197989028539,Diabler,29.35051,1007,1001,22000
76561198082304391,[CTR]TheBamboozler,29.35801,63000000,5000,71000000
76561198047403251,St Nicholas,29.54367,36000000,5001,72000000
76561198052077385,[TIGR] schmxrg,29.60255,15001,1006,28000000
76561199005549942,3rdseyeview,29.6586,42000000,1006,20003
76561198131756122,FINSTER83,30.25399,38003,1004,2004
76561198144551155,Termite,30.421,20000,1004,23012
76561198098164438,BirdManK3v,30.64635,1100,3000,24003
76561199562980597,Mach8_2000,30.87414,11000000,1011,15002
76561199196339657,hanksterphill,30.88471,49000005,2002,6000
76561198166356802,[BKD] Beans,30.96415,12000000,1002,5000
