SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198052077385,[dog] schmxrg,44.09436,15001,5000,23005
76561199024808939,[CTR]Kernkob,44.27189,40000000,3002,6200
76561198988960546,F1Y1NGDUTCHM8N,44.35012,3000,1006,25000000
76561198047403251,St Nicholas,44.48676,36000000,5001,72000000
76561199173536675,[CTR]OwlPlague,44.73364,63000000,5000,68000000
76561198067016097,masterofpi11436,45.17313,11000000,1001,28000000
76561198847191844,Meowbee,45.37903,26002,1006,2009
76561199091943781,Thunder lightning,45.48014,49000003,1005,11001
76561198811535392,[ATB]reholmes92,46.05261,33000000,2001,71000000
76561198144551155,Termite,46.20008,20000,1004,23012
76561198363343888,DIVINITY,46.47862,49000001,4000,49000002
76561198130056087,Amystika,46.48732,43000,3004,30003
76561198324263946,HB N3WT,46.70045,12000000,1000,22000
76561198282533709,Bones,49.43992,26004,1008,23001
