SteamId,Username,Time
76561197980151170,Shadynook,55.46686
76561199208124083,[TBD] rtyyyyb,55.47819
76561198851912263,Lexer,56.49536
76561198932043314,[ZMS] Metalted,57.50534
76561198974231691,agix,58.5995
76561198047403251,St Nicholas,58.61406
76561197989028539,Diabler,58.82519
76561198430273427,Redstonecraft99,59.14248
76561198145132822,cgwheeler96,59.90355
76561197996376845,Arder,60.88544
76561198031919228,Akane,61.25145
76561198076209946,maskeddog,61.25915
76561198067016097,masterofpi31415926535...,61.39682
76561198091994639,cookie,61.70912
76561198378599589,BitPolygon,62.71461
76561198122894680,Waaksaam,63.92969
76561199066573688,Erik,81.33782
76561198050792757,justMaki,148.7449
