SteamId,Username,Time
76561198052077385,schmxrg,34.56325
76561199024808939,[CTR]Kernkob,34.59272
76561198253679880,PandaMane,34.65538
76561198335037968,A2 Zecklord,34.83872
76561198851912263,Lexer,34.85808
76561198314320065,DeeDeeNaNaNa,34.87399
76561198428660617,BB_Benji,34.98572
76561199030452322,monstermud69,35.11442
76561199726483179,loganbradley714,35.49028
76561199013714548,Chapin,35.58287
76561198111674880,a_random_tumbleweed,35.722
76561198144551155,Termite,35.94488
76561199162337102,ZTR177,36.27493
76561199756332058,GoBigGoHotWheels,36.46588
76561198041670380,Weside,36.49995
76561198156460805,Kiprosa,38.83829
76561198431621812,EccentricEric,41.58869
