SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198290668879,Socks242,29.71747,40000000,3006,18000002
76561198050792757,justMaki,29.78275,38000000,3006,56000000
76561198182467866,Danners,29.79212,3001,1006,21005
76561198155015234,VirusCookies,29.82331,15000,1008,11000
76561197996872205,Erko,29.82622,1001,3004,6004
76561198106476018,jandje,29.99156,49000001,3004,18000002
76561198847576929,Lightning,30.10195,38006,3004,6300
76561198896246339,RoundNzt,30.18107,44000,1002,13001
76561198846673916,Matic_D,30.8317,28002,2002,22006
76561198838593572,invisiblecat8,30.94957,38002,1009,30000
76561198061460580,Happydr,31.32285,49000006,1005,6003
76561198086671586,Wesley,31.49533,39001,1000,2001
76561198932043314,Metalted,31.64829,25000,3001,23001
76561198043268277,Frog Mime,31.82188,5004,3006,23007
76561199070202397,Thenonymous,31.93987,39000,1002,14000000
76561198031919228,Akane,32.41937,55000001,3006,30000000
76561198310944158,[Poseidon],32.91317,38001,1005,23000
