SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198081356099,[CTR] Sandals,41.60408,40000000,3006,28000
76561198082304391,[CTR]TheBamboozler,41.95612,40000000,3002,18000001
76561198047403251,St Nicholas,41.98432,6004,3004,12000
76561198021974488,[CTR] NathWalt,42.18214,6001,3000,14000
76561199173536675,[CTR]OwlPlague,42.59959,40000000,3001,18000001
76561198020002661,RadiationMutt,42.96983,3005,1004,11000
76561199100609626,Cheezeetta,45.05721,3001,2002,25000000
76561197965640463,L3it3R,45.31017,32000000,2001,29000000
76561199242599801,hawk,45.40763,1100,3000,6005
76561198059628222,[CTR]zedShep,45.91226,49000010,1006,2019
76561198870312435,NATHAN,47.50624,3003,2000,14000000
76561199002720572,vortex,50.16431,32000000,2001,8000
