SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198106476018,jandje,53.13883,49000001,3004,18000002
76561198847576929,Lightning,53.46355,38006,3004,6300
76561198290668879,Socks242,53.67504,40000000,3006,18000002
76561199126724675,ZOMAN,53.73613,35005,3002,39000000
76561198050792757,justMaki,53.85099,38000000,3006,56000000
76561198896246339,RoundNzt,53.90254,44000,1002,13001
76561199028380903,[RTR] flying_pancake12,54.19925,38000000,1003,2005
76561199043210759,[PFE] Nicolas_Gamer5476,54.69574,3000,4002,29000000
76561198155015234,VirusCookies,54.9676,15000,1008,11000
76561198061460580,Happydr,54.9818,49000006,1005,6003
76561198008859132,Lazy_Echidna,55.2447,41000,3004,22001
76561198377247115,Maple,55.3826,5000,1008,2000
76561198838593572,invisiblecat8,55.40145,38002,1009,30000
76561198846673916,Matic_D,55.9156,28002,2002,22006
76561199096485559,twitch.tv/tsgggg,56.12737,38001,1006,6000
76561199070202397,Thenonymous,56.30176,39000,1002,14000000
76561198043268277,Frog Mime,56.44579,5004,3006,23007
76561198932043314,Metalted,56.57423,25000,3001,23001
76561198824105813,V,56.67358,11000000,2000,14000000
76561198030459761,I_stay_sideways,56.68106,38001,1008,2017
76561198031919228,Akane,56.72435,55000001,3006,30000000
76561198182467866,Danners,57.26562,3001,1006,21005
76561198851912263,Lexer,57.33226,1001,1004,2003
76561198040976717,ttv/Lilly the Bun,57.56231,13003,2002,30000
76561198031878388,KBOPYM,57.76897,1000,1000,1000
76561198086671586,Wesley,57.84987,39001,1000,2001
76561198310944158,[Poseidon],57.89143,38001,1005,23000
76561197996872205,Erko,57.99849,1001,3004,6004
76561197979087520,Mokster,58.17161,6002,1003,6200
76561197996376845,Arder,58.23104,3004,1003,2001
76561198140326779,ishing,58.86272,12000,1003,24000
76561199480203457,Galaxy®,58.86795,25000,1006,27000000
76561197969805328,DBNULL,59.65862,12000000,2002,13000000
76561198096236961,koz,60.02071,3001,2000,14000
76561198803482961,SpicyMango,62.35589,3001,1000,6003
76561198402229045,Meowvelous_Purrrson,62.62665,26000000,4000,24000000
76561198994291489,Diabox005,66.02322,26004,1005,6003
