SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198106476018,jandje,68.35618,49000001,3004,18000002
76561198050792757,justMaki,68.48525,38000000,3006,56000000
76561198896246339,RoundNzt,69.38002,44000,1002,13001
76561198290668879,Socks242,69.43936,40000000,3006,18000002
76561198008859132,Lazy_Echidna,69.49564,41000,3004,22001
76561199126724675,ZOMAN,69.49958,35005,3002,39000000
76561197996872205,Erko,69.99979,1001,3004,6004
76561198155015234,VirusCookies,70.07153,15000,1008,11000
76561198847576929,Lightning,70.48134,38006,3004,6300
76561198932043314,Metalted,71.06808,25000,3001,23001
76561198061460580,Happydr,71.35151,49000006,1005,6003
76561198043268277,Frog Mime,71.64503,5004,3006,23007
76561198031919228,Akane,72.2562,55000001,3006,30000000
76561198448256191,Brittany Spears,72.71252,11000,2002,23000000
76561198846673916,Matic_D,72.97137,28002,2002,22006
76561199070202397,Thenonymous,73.01331,39000,1002,14000000
76561197996376845,Arder,73.6663,3004,1003,2001
76561198824105813,V,73.97471,11000000,2000,14000000
76561197979087520,Mokster,74.45107,6002,1003,6200
76561199193425467,marronsauce,74.78642,15000,1002,5004
76561199480203457,Galaxy®,74.92599,25000,1006,27000000
76561199096485559,twitch.tv/tsgggg,75.4341,38001,1006,6000
76561198310944158,[Poseidon],77.61754,38001,1005,23000
76561198040976717,ttv/Lilly the Bun,78.28735,13003,2002,30000
76561198031878388,KBOPYM,81.94337,1000,1000,1000
