SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,44.06252,38000000,3006,56000000
76561198106476018,[CTR]jandje,44.12831,49000001,3004,59000000
76561199027567424,[RTR] Hydro,44.28178,40000000,3001,14000000
76561198001387193,Warcans,44.29542,36000000,3002,27000000
76561198030459761,[RTR] I_stay_sideway,44.33686,38001,1008,2017
76561198847576929,Lightning,44.34542,38006,3004,6300
76561198896246339,RoundNzt,44.35472,44000,1002,13001
76561198067925412,AndMe14,44.41593,15000,3000,5002
76561198043268277,Frog Mime,44.48312,33002,3006,20006
76561198008859132,Lazy_Echidna,44.48794,26005,3004,6500
76561198027169155,DeiRex,44.61687,38001,3004,22000
76561199121464627,[OR] rsgold,44.70319,3008,3004,6300
76561198155015234,VirusCookies,44.74378,15000,1008,11000
76561198932043314,Metalted,44.79719,45002,3001,59000000
76561199242599801,hawk,44.9115,1100,3000,6005
76561199128492450,ITz_WillleeMan,44.95962,41000,1000,6000
76561198851912263,Lexer,45.02835,1014,3002,2020
76561198799198486,manuel_widdel,45.0841,15001,1009,7000
76561198253561586,broscolotos,45.09283,6001,1004,6200
76561198023336905,Hademar,45.2876,31000000,1000,24000000
76561198020002661,RadiationMutt,45.35069,3003,3002,58000000
76561199230661220,Sblob197,45.55347,35002,3006,19001
76561198333205852,Jappiedoedelzak,45.58618,26000000,1003,27000000
76561198068631969,Desync,45.66082,12000000,3000,2012
76561198031919228,Akane,45.68122,55000001,3006,30000000
76561198838593572,invisiblecat8,45.68665,13005,1002,24005
76561197979087520,Mokster,45.69172,6002,1003,6200
76561198083036528,Vampiricoes,45.74423,12000,1008,7000
76561198144386329,Ben Bingo,45.76932,10000,1000,23001
76561198842734719,DMILKS,45.77955,2000,4000,22000
76561198136885512,ChociCinna94,45.82793,45003,1007,24004
76561198123650616,Dilly,46.00487,5000,4004,27000000
76561197996376845,Arder,46.01816,3004,1003,2001
76561198261755044,Gootz,46.25885,8000,1005,7000
76561198091849339,Hi Im Yolo,46.29,3007,1004,6004
76561198030345957,Jakub Vymetal,46.49355,4001,2000,6000
76561198096236961,koz,46.80768,3001,2000,14000
76561198153431663,Boonanas,46.93804,41000,4004,14001
76561198049072812,BeeHoles,47.26713,49000008,1006,49000005
76561199160730448,Joshy2008,48.7502,45000,1000,23011
76561198171003110,『           』,56.69371,26000000,4001,22000
