SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,73.02484,38000000,3006,56000000
76561198021974488,[CTR] NathWalt,73.64767,6001,3000,14001
76561198082304391,[CTR]TheBamboozler,74.03147,61000000,3002,18000001
76561198335037968,A2 Zecklord,74.11884,38001,1006,49000006
76561199027567424,Hydro,74.25002,40000000,3001,14000000
76561198081356099,[CTR] Sandals,74.37151,40000000,3006,28000
76561198847576929,Lightning,74.50824,38006,3004,6300
76561198027169155,DeiRex,74.52483,38001,3004,22000
76561198008859132,Lazy_Echidna,74.63945,26005,3004,6500
76561198052077385,schmxrg,74.73654,15001,1009,23005
76561198067925412,AndMe14,74.87148,15000,3000,5002
76561199112560691,BaasBallas,75.12325,3001,1005,2019
76561197965640463,L3it3R,75.23863,32000000,2001,29000000
76561198851912263,Lexer,75.27696,1014,3002,2020
76561199491897925,DRDOOM,75.32442,6007,3006,5002
76561198072912743,Lynhardt,75.39246,3000,1006,10000000
76561199135775747,Renergy,75.46693,37004,2000,2002
76561198846673916,Matic_D,75.5133,28002,2002,22006
76561198932043314,Metalted,75.60487,37002,1002,23001
76561199229647570,jabob2112,75.82914,35000,3000,11000
76561198003528539,Orange Sheets,76.49917,23000,1002,28000
76561198260195102,noodlemandan,76.66399,49000012,1000,23000000
76561198044018304,Lucid,76.68099,5000,2000,6000
76561199230094250,[RTR]Fwogiie.Kawaii,76.72314,3009,1008,10001
76561198122154036,DragonBlood91D,77.79843,1100,3002,10001
76561199189177917,FreckledBard23,78.77925,18001,1005,24000000
76561198027345847,Birdy38,79.87338,26004,1005,15003
76561199237295668,Podświetlany Gaming,80.09892,8000,1005,23000
76561199466393290,Grim_G4ll0w5,81.41419,25000,2000,8000
