SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,38.90281,38000000,3006,56000000
76561198847576929,Lightning,39.70163,38006,3004,6300
76561198082304391,[CTR]TheBamboozler,40.54723,61000000,3002,18000001
76561198081356099,[CTR] Sandals,40.56391,40000000,3006,28000
76561198021974488,[CTR] NathWalt,40.70514,6001,3000,14001
76561198335037968,A2 Zecklord,40.7663,38001,1006,49000006
76561198851912263,Lexer,41.44148,1014,3002,2020
76561199027567424,Hydro,41.54063,40000000,3001,14000000
76561199135775747,Renergy,41.71161,37004,2000,2002
76561199491897925,DRDOOM,41.83537,6007,3006,5002
76561198081686672,Not That Guy,42.03767,40000000,3004,18000000
76561199230094250,[RTR]Fwogiie.Kawaii,42.21733,3009,1008,10001
76561198008859132,Lazy_Echidna,42.45051,26005,3004,6500
76561198027169155,DeiRex,42.65342,38001,3004,22000
76561198067925412,AndMe14,43.01059,15000,3000,5002
76561198932043314,Metalted,43.02815,37002,1002,23001
76561198072912743,Lynhardt,43.63727,3000,1006,10000000
76561199229647570,jabob2112,44.41651,35000,3000,11000
76561198052077385,schmxrg,44.88936,15001,1009,23005
76561199112560691,BaasBallas,45.66612,3001,1005,2019
76561197992255092,sf.is.a.bbt,46.49283,19000000,4007,29000000
76561197965640463,L3it3R,46.52232,32000000,2001,29000000
76561198846673916,Matic_D,46.71112,28002,2002,22006
76561198823854710,Alaskaman79,46.89539,11000000,3003,20000
76561198260195102,noodlemandan,47.04265,49000012,1000,23000000
76561198003528539,Orange Sheets,49.43917,23000,1002,28000
76561198173558995,Rick Ross,49.7429,7000,1000,23000
