SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,40.23787,38000000,3006,56000000
76561198081356099,[CTR] Sandals,40.38614,40000000,3006,28000
76561199027567424,Hydro,40.43171,40000000,3001,14000000
76561198008859132,Lazy_Echidna,40.44222,26005,3004,6500
76561199491897925,DRDOOM,40.50446,6007,3006,5002
76561198052077385,schmxrg,40.50576,15001,1009,23005
76561198847576929,Lightning,40.52588,38006,3004,6300
76561198335037968,A2 Zecklord,40.63068,38001,1006,49000006
76561199230094250,[RTR]Fwogiie.Kawaii,40.64659,3009,1008,10001
76561198021974488,[CTR] NathWalt,40.74265,6001,3000,14001
76561199135775747,Renergy,40.77726,37004,2000,2002
76561198067925412,AndMe14,40.78932,15000,3000,5002
76561198082304391,[CTR]TheBamboozler,40.80837,61000000,3002,18000001
76561197965640463,L3it3R,41.01918,32000000,2001,29000000
76561198081686672,Not That Guy,41.04451,40000000,3004,18000000
76561198932043314,Metalted,41.15528,37002,1002,23001
76561198851912263,Lexer,41.35273,1014,3002,2020
76561198072912743,Lynhardt,42.40304,3000,1006,10000000
76561199112560691,BaasBallas,42.48019,3001,1005,2019
76561198027169155,DeiRex,42.63936,38001,3004,22000
76561199229647570,jabob2112,43.08433,35000,3000,11000
76561198846673916,Matic_D,44.04947,28002,2002,22006
76561198173558995,Rick Ross,44.47215,7000,1000,23000
76561198260195102,noodlemandan,45.46465,49000012,1000,23000000
76561198823854710,Alaskaman79,45.77485,11000000,3003,20000
76561197992255092,sf.is.a.bbt,47.08458,19000000,4007,29000000
76561198003528539,Orange Sheets,49.01283,23000,1002,28000
