SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,53.36875,38000000,3006,56000000
76561198008859132,Lazy_Echidna,54.57745,26005,3004,6500
76561198081356099,[CTR] Sandals,54.60255,40000000,3006,28000
76561198081686672,Not That Guy,54.83787,40000000,3004,18000000
76561199230094250,[RTR]Fwogiie.Kawaii,55.01559,3009,1008,10001
76561198021974488,[CTR] NathWalt,55.10296,6001,3000,14001
76561198052077385,schmxrg,55.25972,15001,1009,23005
76561198847576929,Lightning,55.46833,38006,3004,6300
76561199135775747,Renergy,55.58679,37004,2000,2002
76561199027567424,Hydro,55.66519,40000000,3001,14000000
76561198082304391,[CTR]TheBamboozler,55.69117,61000000,3002,18000001
76561198851912263,Lexer,55.83307,1014,3002,2020
76561198067925412,AndMe14,56.19158,15000,3000,5002
76561198335037968,A2 Zecklord,56.39273,38001,1006,49000006
76561198027169155,DeiRex,56.84672,38001,3004,22000
76561198932043314,Metalted,57.19844,37002,1002,23001
76561199491897925,DRDOOM,57.24122,6007,3006,5002
76561197965640463,L3it3R,57.36158,32000000,2001,29000000
76561198122154036,DragonBlood91D,58.43946,1100,3002,10001
76561198072912743,Lynhardt,59.92593,3000,1006,10000000
76561198260195102,noodlemandan,60.34703,49000012,1000,23000000
76561199112560691,BaasBallas,60.7687,3001,1005,2019
76561198846673916,Matic_D,60.81461,28002,2002,22006
76561199229647570,jabob2112,60.9925,35000,3000,11000
76561197992255092,sf.is.a.bbt,61.14692,19000000,4007,29000000
76561198003528539,Orange Sheets,63.52461,23000,1002,28000
