SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561199126724675,ZOMAN,38.96594,3008,3001,18000002
76561198064346397,Mark,39.05521,3008,1002,30002
76561198106476018,[CTR]jandje,39.30585,49000001,3004,59000000
76561198078203272,Psycho No. 7,39.44788,3009,3000,2023
76561198896246339,RoundNzt,39.51526,44000,1002,59000000
76561198030459761,[RTR] I_stay_sideway,39.90265,38001,1008,2017
76561198155015234,VirusCookies,39.91075,15000,1008,11000
76561199218029567,MissMomo<3,40.05014,45003,1008,23010
76561198031919228,Akane,40.13218,55000001,3006,30000000
76561198001387193,Warcans,40.17482,36000000,3002,27000000
76561198052872868,Prepe,40.29298,1100,1000,2020
76561199319642879,Firdirk,40.31613,11000,1000,23000
76561198799198486,manuel_widdel,40.34159,15001,1009,7000
76561198043268277,Frog Mime,40.3614,33002,3006,20006
76561199064553170,Llama_Lordie,40.40716,3006,1003,24000000
76561198326232850,Sky,40.46726,1100,3000,6003
76561198180909591,Odist,41.13166,3005,2000,24000000
76561198257505444,Sett,41.24237,6001,2001,10000
76561198251692488,Beanie Boi,41.286,3001,2000,2001
76561199126611636,sir_foucek,41.81199,12000000,2000,28000000
76561198079035062,Wortelstok,42.02687,39000,1003,2000
76561199160205171,Mossbro,42.1691,3000,1000,2001
76561198838593572,invisiblecat8,43.18194,13005,1002,24005
76561199024815723,Buckmester Lambert,43.45701,1010,1010,23000
76561197996376845,Arder,43.57999,3004,1003,2001
76561198091849339,Hi Im Yolo,43.71152,3005,1004,49000011
76561199480045245,ghoulplayzs be like,43.96294,49000011,4004,17000000
76561198086671586,The Stig,45.46673,3005,1000,2021
76561199063264277,Mrcrazykid,53.51245,3001,1005,6003
