SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,53.39408,38000000,3006,56000000
76561198021974488,[CTR] NathWalt,55.23422,6001,3000,14001
76561198847576929,Lightning,55.54413,38006,3004,6300
76561198052077385,schmxrg,56.27577,15001,1009,23005
76561198082304391,[CTR]TheBamboozler,56.34593,61000000,3002,18000001
76561198081356099,[CTR] Sandals,56.48905,40000000,3006,28000
76561198008859132,Lazy_Echidna,56.61381,26005,3004,6500
76561198027169155,DeiRex,56.89926,38001,3004,22000
76561197965640463,L3it3R,57.54409,32000000,2001,29000000
76561198851912263,Lexer,57.99281,1014,3002,2020
76561198335037968,A2 Zecklord,58.21284,38001,1006,49000006
76561198932043314,Metalted,58.24428,37002,1002,23001
76561199112560691,BaasBallas,58.9033,3001,1005,2019
76561199027567424,Hydro,59.06823,40000000,3001,14000000
76561199491897925,DRDOOM,59.83108,6007,3006,5002
76561199135775747,Renergy,60.61346,37004,2000,2002
76561198152281654,Zarro,61.16495,38006,1003,28000
76561198003528539,Orange Sheets,62.71619,23000,1002,28000
76561197992255092,sf.is.a.bbt,63.16763,19000000,4007,29000000
76561198260195102,noodlemandan,84.48933,49000012,1000,23000000
76561198122154036,DragonBlood91D,97.83454,1100,3002,10001
