SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198106476018,[CTR]jandje,35.49027,49000001,3004,59000000
76561198078203272,Psycho No. 7,35.7347,3009,3000,2023
76561198064346397,Mark,35.79916,3008,1002,30002
76561199126724675,ZOMAN,35.836,3008,3001,18000002
76561198001387193,Warcans,35.87801,36000000,3002,27000000
76561198326232850,Sky,35.98809,1100,3000,6003
76561198896246339,RoundNzt,35.99129,44000,1002,59000000
76561198043268277,Frog Mime,36.03504,33002,3006,20006
76561198030459761,[RTR] I_stay_sideway,36.0881,38001,1008,2017
76561198067925412,AndMe14,36.29938,15000,3000,5002
76561199218029567,MissMomo<3,36.44289,45003,1008,23010
76561199292634733,zodiak,36.45108,3008,3004,2025
76561199064553170,Llama_Lordie,36.4635,3006,1003,24000000
76561198155015234,VirusCookies,36.58196,15000,1008,11000
76561198838593572,invisiblecat8,36.60899,13005,1002,24005
76561197974809230,54mmy,36.65625,3001,1006,5000
76561198052872868,Prepe,36.67225,1100,1000,2020
76561199160205171,Mossbro,36.68666,3000,1000,2001
76561198180909591,Odist,36.82544,3005,2000,24000000
76561198031919228,Akane,36.87545,55000001,3006,30000000
76561197996376845,Arder,36.89249,3004,1003,2001
76561199079152076,TheGerm,36.89895,1008,3004,10001
76561198799198486,manuel_widdel,36.98204,15001,1009,7000
76561198257505444,Sett,37.18668,6001,2001,10000
76561198251692488,Beanie Boi,37.24261,3001,2000,2001
76561199319642879,Firdirk,37.52592,11000,1000,23000
76561199008410061,tchrmschmidt,37.57395,15000,1005,6003
76561198086671586,The Stig,37.79118,3005,1000,2021
76561199024815723,Buckmester Lambert,38.07972,1010,1010,23000
76561198091849339,Hi Im Yolo,38.16718,3005,1004,49000011
76561198315914115,SQUARE Necron,39.66913,38003,2000,7000
76561197992809732,bobbarleh,39.98923,39001,1000,2019
76561197990352545,Renka,39.99916,1001,1000,1000
76561199480045245,ghoulplayzs be like,40.23413,49000011,4004,17000000
76561199083253371,joelvds,42.55142,25000,1001,29000000
76561199230635532,Fuzzyrhino,42.58327,2000,1004,5003
76561198031010319,AlyssaG,43.67173,33002,1008,1002
76561198142588111,El Dibu 54,46.40438,38001,1005,24000000
76561199422406532,CHEESE,47.17678,3001,1000,1000
