SteamId,Username,Time,ZeepkistId, ColorId, HatId
76561198050792757,justMaki,45.03618,38000000,3006,56000000
76561198052077385,schmxrg,45.11114,15001,1009,23005
76561198847576929,Lightning,45.16863,38006,3004,6300
76561198008859132,Lazy_Echidna,45.31381,26005,3004,6500
76561198081356099,[CTR] Sandals,45.47775,40000000,3006,28000
76561198021974488,[CTR] NathWalt,45.57316,6001,3000,14001
76561198027169155,DeiRex,45.58268,38001,3004,22000
76561199027567424,Hydro,45.71776,40000000,3001,14000000
76561197965640463,L3it3R,45.73567,32000000,2001,29000000
76561198082304391,[CTR]TheBamboozler,45.77137,61000000,3002,18000001
76561198335037968,A2 Zecklord,45.77558,38001,1006,49000006
76561198851912263,Lexer,46.33692,1014,3002,2020
76561198932043314,Metalted,46.60638,37002,1002,23001
76561199491897925,DRDOOM,47.50351,6007,3006,5002
76561199229647570,jabob2112,47.91425,35000,3000,11000
76561199112560691,BaasBallas,48.00935,3001,1005,2019
76561198152281654,Zarro,48.36649,38006,1003,28000
76561198003528539,Orange Sheets,50.272,23000,1002,28000
76561197992255092,sf.is.a.bbt,52.80733,19000000,4007,29000000
