SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198064346397,Mark,45.12362,3008,1002,30002
76561198106476018,[CTR]jandje,45.52942,49000014,3001,59000000
76561198030459761,[RTR] I_stay_sideway,45.74408,6009,1008,2017
76561198081686672,[RTR] Not That Guy,46.68584,40000000,3004,58000000
76561198447684490,Rigenix,47.14025,16000000,1005,15000000
76561199083480800,lewis,47.1929,3007,1002,5000
76561198335037968,A2 Zecklord,47.24033,38001,1006,49000006
76561198047403251,St Nicholas,47.26933,3008,3001,23011
76561198052872868,Prepe,47.59409,1100,1000,2020
76561198851912263,Lexer,47.63171,1014,3002,2020
76561198838593572,invisiblecat8,47.70614,13005,1002,24005
76561199487691428,Jrax144,47.86932,49000015,2001,2021
76561198896246339,RoundNzt,48.31327,44000,1002,59000000
76561198031919228,Akane,48.70254,55000001,3006,30000000
76561197995534351,Kaiser64,48.79293,37004,4004,23000
76561198043268277,A Broken Forklift,48.82602,33002,3006,20006
76561198842622746,Beans,49.31177,5006,3004,29000
76561197996376845,Arder,50.49226,3004,1003,2001
76561198932043314,Metalted,50.66496,37002,1002,23001
76561198091849339,Hi Im Yolo,51.23663,49000002,1004,49000006
76561198000593151,Triton,54.17451,37004,2000,14001
