SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198106476018,[CTR]jandje,42.48387,49000014,3001,59000000
76561198064346397,Mark,42.75431,3008,1002,30002
76561199126724675,ZOMAN,43.14522,3008,3001,60000000
76561198896246339,RoundNzt,43.16991,44000,1002,59000000
76561198335037968,A2 Zecklord,43.39674,38001,1006,49000006
76561198030459761,[RTR] I_stay_sideway,43.66512,6009,1008,2017
76561198081686672,[RTR] Not That Guy,44.35746,40000000,3004,58000000
76561198851912263,Lexer,44.36501,1014,3002,2020
76561199083480800,lewis,44.56659,3007,1002,5000
76561198052872868,Prepe,44.65273,1100,1000,2020
76561198091849339,Hi Im Yolo,44.77848,49000002,1004,49000006
76561198056301310,matt,44.82327,5000,1006,8001
76561198043268277,A Broken Forklift,44.88925,33002,3006,20006
76561198047403251,St Nicholas,45.0368,3008,3001,23011
76561198031919228,Akane,45.04368,55000001,3006,30000000
76561198932043314,Metalted,45.33848,37002,1002,23001
76561197995534351,Kaiser64,45.44507,37004,4004,23000
76561198081325056,Pendraw,46.06672,38001,1006,11000
76561198136325529,GrimWooper,46.18145,30000,3001,23000
76561198207957111,Lord Mendigo,46.2851,45000,3006,35000000
76561198102164779,Skinnyx◢◤,46.89422,3001,1004,2001
76561198838593572,invisiblecat8,47.13741,13005,1002,24005
76561197996376845,Arder,47.32557,3004,1003,2001
76561198040976717,ttv/Lilly the Bun,47.59784,13004,2002,30000
76561198195303514,Mr. X,48.14145,26004,1004,23000
76561198063900176,JAM,49.49166,3000,1000,1000
76561198027636803,DosasNMimosas,49.59483,15000,2001,23011
76561199316777120,[MR] Dølus,51.02094,49000015,3000,49000004
