SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198064346397,Mark,49.01232,3008,1002,30002
76561198106476018,[CTR]jandje,49.66955,49000014,3001,59000000
76561198056301310,matt,50.11904,5000,1006,8001
76561198896246339,RoundNzt,50.21795,44000,1002,59000000
76561198426839944,Galactichero623,50.52467,35002,1001,6004
76561198290668879,Socks242,50.6359,61000000,3004,57000000
76561198353455576,GeneralYoda,51.03997,3001,1000,15005
76561198047403251,St Nicholas,51.28524,6007,3005,5001
76561197996872205,Erko,51.40397,1001,3004,6004
76561198159073318,GuAlexItar,51.54757,32002,1005,10001
76561198043268277,A Broken Forklift,51.90936,33002,3006,20006
76561198052872868,Prepe,51.96331,1100,1000,2020
76561197965640463,[CTR]L3it3R,52.10855,32000000,2002,29000000
76561198207957111,Lord Mendigo,52.38051,45000,3006,35000000
76561198132707244,Shad0wCube,52.43165,25000,2001,7000
76561197975483812,Dunke,52.63777,22000,1000,2017
76561198362676937,Be Gentle,52.87983,37000,1000,9000
76561198339626700,Devosaur_BBX,52.90337,38006,2000,24001
76561198031919228,Akane,53.10779,55000001,3006,30000000
76561198838593572,invisiblecat8,53.44779,13005,1002,24005
76561198145132822,cgwheeler96,53.55364,35005,1005,6005
76561197965415412,Henry The Bogard,53.58341,39000,1005,23000
76561198397958107,Scorps,53.75209,4000,1006,3000
76561198311835092,MichelleX,53.75857,2000,1008,1000
76561197996376845,Arder,55.09617,3004,1003,2001
76561199085266774,Legendgold21,55.22189,38004,1001,6000
76561198040976717,ttv/Lilly the Bun,55.79461,13004,2002,30000
76561198000493194,MCRJAKE,56.00757,6002,2002,2000
76561199500726908,Deraghdreg,57.46666,49000016,1004,24000000
76561197964495214,mythorchid,62.99593,35005,3004,29000
76561198097526773,LucikS,73.84415,2000,1008,1000
