SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199490883002,Velocity Viper,65.64839,3000,3001,3000
76561198021974488,[CTR] NathWalt,65.81943,6001,3000,14001
76561199024808939,Kernkob,66.08258,38000000,3002,6200
76561198030459761,I_stay_sideway,66.41405,36000000,1008,2017
76561198290668879,Socks242,66.56195,61000000,3004,57000000
76561199173536675,[CTR]OwlPlague,66.68038,41000,3001,60000000
76561198052077385,schmxrg,66.76819,15001,1008,58000000
76561198359568548,Kodiak,66.90839,6001,1006,22003
76561198180572741,Chili,67.40237,1012,3006,30000
76561198082304391,[CTR]TheBamboozler,67.59396,61000000,3002,18000001
76561198335037968,A2 Zecklord,68.34212,38001,1006,49000006
76561198200213958,Jmal :^),70.26984,3001,2000,29000000
76561198021763357,Renowneddragoon,70.97623,25000,1000,8001
