SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561199490883002,Velocity Viper,53.71063,3000,3001,3000
76561198290668879,Socks242,53.72023,61000000,3004,57000000
76561199024808939,Kernkob,53.93618,38000000,3002,6200
76561198030459761,I_stay_sideway,54.11106,36000000,1008,2017
76561198052077385,schmxrg,54.13533,15001,1008,58000000
76561198082304391,[CTR]TheBamboozler,54.17773,61000000,3002,18000001
76561198021974488,[CTR] NathWalt,54.51185,6001,3000,14001
76561199173536675,[CTR]OwlPlague,54.54279,41000,3001,60000000
76561198851912263,Lexer,54.66088,1014,3002,2020
76561198335037968,A2 Zecklord,54.89045,38001,1006,49000006
76561198060405963,ForestTheBoy,55.41051,24001,1010,23009
76561198010680611,Diabolous Glorior,55.55398,15000,2001,5100
76561198359568548,Kodiak,55.57639,6001,1006,22003
76561198200213958,Jmal :^),56.08777,3001,2000,29000000
76561198210248213,CodeingerCat,57.66134,38001,1007,10000
76561198136885512,ChociCinna94,60.83703,45003,1007,24004
76561198847191844,Meowbee,62.88638,1000,1000,1000
76561197993584714,domokun,67.58805,31000,1004,2004
