SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198064346397,Mark,52.14717,3008,1002,30002
76561198106476018,[CTR]jandje,52.99744,49000014,3001,59000000
76561198047403251,St Nicholas,53.21737,38000000,3001,58000000
76561197996872205,Erko,53.56258,1001,3004,6004
76561198091849339,Hi Im Yolo,53.6465,49000014,1004,21002
76561198447684490,Rigenix,54.20745,16000000,1005,15000000
76561198259463003,[CTR]R0nanC,54.75478,54000000,3000,6100
76561199292634733,Zodiak,54.78263,3008,3004,2025
76561197975483812,Dunke,55.01325,22000,3006,2017
76561198285710168,dencar85,55.61353,22001,3003,58000000
76561198031919228,Akane,56.34782,55000001,3006,30000000
76561198851912263,Lexer,56.3807,1014,3002,2020
76561198932043314,Metalted,57.24912,45002,1002,23001
76561199053404858,[OR] Roader,57.55907,15000,2002,6005
76561197996376845,Arder,57.68122,3004,1003,2001
76561198383168783,Vrikka,57.9297,37005,1008,6001
76561198207339716,Leviathan,58.0426,23000,2000,5000
76561199073700659,MasterGamer64,58.46813,3001,1004,34000000
76561198159335356,Microknigh7,58.49776,11000,1000,1000
76561199046555647,bernhard,58.56082,3002,4002,27000000
76561198348110100,blackjaybird10,59.38192,13003,2002,24003
76561197989028539,Diabler,59.69018,22001,1001,22000
76561198859568450,kaubrey1869,60.23634,39000,1000,10000000
76561198083412534,MikeReddy,60.32636,3000,1007,23000
76561198879358263,writetoct,60.53045,31001,1000,11000
76561198855289335,RobyBra,62.48925,49000001,1004,49000002
76561198067944089,fluffypoofie,64.64265,36001,1007,24002
76561198323350544,Astropenguin,64.94442,7003,1006,2008
76561199092377275,GWolf609,65.63217,36003,4000,8000
76561198053712693,&(i/y),65.92793,49000004,1000,49000011
76561198076209946,maskeddog,69.46744,2003,1008,1002
