SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198050792757,justMaki,36.14695,40000000,3006,28000
76561198064346397,Mark,36.16471,3008,1002,30002
76561198056301310,matt,36.31348,5000,1006,8001
76561198851912263,Lexer,36.41245,1014,3002,58000000
76561198030459761,Istaysideway,36.5905,36000000,1008,2017
76561199242599801,[XTR]Hawk,36.68632,35006,1001,6004
76561198000593151,Triton,37.09574,40000,3000,10001
76561198047403251,St Nicholas,37.09989,38000000,3001,58000000
76561198081686672,[RTR] Not That Guy,37.13805,3008,3004,58000000
76561198259463003,[CTR]R0nanC,37.14871,54000000,3000,6100
76561197975483812,Dunke,37.17287,22000,3006,2017
76561198149636594,[KURK] Quickracer10,37.17846,3005,3004,23005
76561198091849339,Hi Im Yolo,37.18157,49000015,1004,21002
76561198067925412,AndMe15,37.1957,15000,1006,27000000
76561199128492450,ITz_WillleeMan,37.30903,41000,1000,6000
76561198359568548,Kodiak,37.36773,49000010,3003,21002
76561198185442525,20jorden01,37.37948,12000000,3000,5002
76561198078302726,Bobsen Duggnut,37.44013,1100,2001,2000
76561198210248213,CodeingerCat,37.45445,38001,3006,10000
76561199477437324,[BGR] Joking,37.51183,3007,2001,5100
76561198008520019,Giganten,37.53971,15000,1003,2004
76561198035400760,BuddhaBladez,37.60122,38001,1006,2002
76561198130056087,Amystique,37.67686,41000,3004,2017
76561198870312435,[XTR] NATHAN,37.73946,3003,2000,14000000
76561197989028539,Diabler,37.75016,22001,1001,22000
76561198031919228,Akane,37.76669,55000001,3006,30000000
76561199141429254,Phoenjx,37.7671,6001,4003,19000
76561199046555647,bernhard,37.80568,3001,1009,2002
76561198311835092,MichelleX,37.83627,13004,1008,23007
76561197965053288,I Have No Fork,38.29539,7000,1004,10001
76561199013714548,Chapin,38.31579,38005,1006,2007
76561198131756122,FINSTER83,38.35518,38003,1004,10000
76561198020002661,RadiationMutt,38.42252,22002,1000,11000
76561197996376845,Arder,38.49587,3004,1003,2001
76561198932043314,Metalted,38.69969,45002,1002,23001
76561199002720572,vortex,38.7059,22002,2001,22006
76561199214745124,floretenebris,38.75333,32000,1008,23001
76561198021763357,Renowneddragoon,38.87893,25000,1000,8001
76561199048581685,SENNA! Pingu,39.15358,38002,1011,2002
76561197993715322,Captain SemiColon,39.25398,5000,1004,2001
76561198076209946,maskeddog,40.83757,2003,1008,1002
76561198097526773,LucikS,42.72841,2000,1008,1000
76561199067563207,ToasterInaFridge,44.51201,49000010,1006,6000
