SteamId,Username,Time,ZeepkistId,ColorId,HatId
76561198052077385,schmxrg,46.9949,15001,1008,23005
76561199024808939,Kernkob,47.13531,40000000,3002,6200
76561197988996330,[CTR] LupensCruor,47.42484,41000,3005,6300
76561199027567424,Hydro,47.509,40000000,3001,57000000
76561198082304391,[CTR]TheBamboozler,47.61465,63000000,3002,18000001
76561198021974488,[CTR] NathWalt,47.85659,6001,3000,14001
76561198290668879,Socks242,47.93516,63000000,3004,57000000
76561199173536675,[CTR]OwlPlague,47.95459,61000000,3001,18000001
76561198059628222,[CTR]zedShep,48.42797,49000010,1004,2019
76561198335037968,A2 Zecklord,48.77072,38001,1006,49000006
76561198067925412,AndMe15,48.91929,15000,1006,27000000
76561198974231691,agix,48.95099,27000,4004,23001
76561199048674191,Viki842,51.53151,16000000,4004,22004
76561199128560669,GrahamPlayz8,51.63757,22002,3002,24002
76561198323350544,Astropenguin,52.75199,7003,1006,2008
76561198845972587,SZ27,52.82206,38000,1009,23012
76561198007315017,Scrivvy,53.53404,35003,1005,23011
76561198196954111,FDB,56.09323,12000000,1000,2017
